country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides
Luxembourg,2002-01-01,49.7191644072932,33.8323376552753,2574.46,934.0,149.318166732308,2.01014494895935,0.280673801898956,100.0,1.32,15980.2767972208,9818.3,10793.08364,173.30818890175,2.07408613571643,,,,,24.7817028715337,36.6812063478711,1.97525644302368,0.24519370496273,,,,,39.84,,0.586825535638613,23649833332.1655,1.63791656494141,0.361368030309677,1.87056970596313,0.248426213860512,1.86433672904968,0.261469304561615,4.61169099807739,5.67507315,,31.0,12.0,8.4,77.9658536585366,446175.0,65592.0,1.40829694271088,0.237350568175316,1.3455554621142
Luxembourg,2003-01-01,49.7191644072932,33.9100238496617,2574.46,934.0,150.510808101085,1.64305710792542,0.2227743268013,100.0,1.28,16258.8844850874,10241.6,11211.35535,175.427079853639,2.04984030563518,,,1.62349998950958,,24.6300961285092,38.2197785077809,1.85602164268494,0.237626269459724,,,,,54.55,,0.60717994174289,29667268248.1305,1.44070816040039,0.306289792060852,1.82702851295471,0.215583145618439,1.78860485553741,0.214093759655952,4.86869335174561,5.83644247,,30.2,11.7,9.0,77.7268292682927,451630.0,64389.0,1.53309559822083,0.232990935444832,0.664670439779196
Luxembourg,2004-01-01,49.7191644072932,33.9877100440481,2574.46,934.0,166.321730856664,1.82256400585175,0.204954728484154,100.0,1.35,16300.1124220959,11659.8,12663.55929,177.938286087179,2.22567916428889,,,1.58818995952606,,24.0425731854332,38.7992367482131,1.87731623649597,0.251801371574402,,,,,65.88,,0.611235470879585,35064843792.8993,1.31543505191803,0.298551917076111,1.84497785568237,0.210914894938469,1.78424465656281,0.235867440700531,4.90479755401611,6.15188742,,30.2,11.9,7.8,79.1219512195122,458095.0,63322.0,1.66827726364136,0.228559032082558,0.436882971066333
Luxembourg,2005-01-01,50.1075953792252,34.0653962384345,2574.46,934.0,183.452042833571,1.64741575717926,0.200907528400421,100.0,1.87,15644.1467200392,11912.9,12901.12298,180.681774041935,2.48769665164088,,,1.55873000621796,,25.3355554538416,38.1755303476578,1.77208602428436,0.219638466835022,,,,,70.0,,0.58477615707441,37672280120.4794,1.33164858818054,0.290354162454605,1.81880056858063,0.212521314620972,1.63860869407654,0.18210557103157,4.85462236404419,5.99415827,,30.8,11.5,7.8,79.4317073170732,465158.0,62340.0,1.58191788196564,0.231447145342827,0.860475046761441
Luxembourg,2006-01-01,50.1075953792252,34.1430824328209,2574.46,934.0,200.76026203602,1.87307953834534,0.189837738871574,100.0,2.08,16456.6041169016,11717.2,12697.30746,183.586849281014,2.66631494577069,,,1.64885997772217,,23.9298412043057,35.7178490913472,1.56682622432709,0.202850207686424,,,,,72.51,,0.52078771268481,42910146296.0646,1.3998988866806,0.264850795269012,1.6867743730545,0.176088228821754,1.67486965656281,0.215663254261017,4.42274475097656,5.56112909,,30.9,11.7,8.0,79.2878048780488,472637.0,61400.0,1.54720115661621,0.178238436579704,1.48178411040562
Luxembourg,2007-01-01,50.8844573230891,34.2207686272073,2574.46,934.0,202.272844313145,1.96152448654175,0.199889555573463,100.0,3.64,16352.321804693,11114.4,12109.87906,186.444147510546,2.31245861786127,,,1.57165002822876,,24.380345488909,33.9888793613862,1.5860413312912,0.225934103131294,,,,,78.92,3.54,0.50162400683642,51587401415.7872,1.48371803760529,0.256448686122894,1.74790990352631,0.17659167945385,1.73761868476868,0.232354000210762,4.27168464660645,5.25702858,,31.1,11.4,8.1,79.3829268292683,479993.0,60436.0,1.53769946098328,0.17585363984108,1.45873296538531
Luxembourg,2008-01-01,50.8844573230891,34.2984548215937,2574.46,934.0,180.846010830249,1.9571373462677,0.197029829025269,100.0,3.96,15937.7877826665,11022.5,12032.55031,189.806794434561,3.40187963025571,,,1.54663002490997,,23.5557107740178,34.6285196495168,1.61668634414673,0.23621729016304,,,,,82.23,,0.364912794964823,58844277701.5258,1.51193952560425,0.257788091897964,1.78934144973755,0.173296168446541,1.65803468227386,0.239074289798737,4.32691144943237,5.46154928,,32.6,11.5,7.4,80.5390243902439,488650.0,59615.0,1.54557907581329,0.169332340359688,1.63721219600295
Luxembourg,2009-01-01,50.7679280315095,34.37614101598,2574.46,934.0,171.37213824156,1.96353781223297,0.193182691931725,100.0,3.73,14425.9647276022,10442.9,11443.09647,193.354334501216,0.368041997888887,,,1.58838999271393,,23.8391085158098,38.6720324373854,1.74351441860199,0.229649886488914,,,,,87.31,,0.371311757115607,54467289897.5582,1.45038175582886,0.259138554334641,1.81968367099762,0.169446125626564,1.64333391189575,0.238408625125885,4.86713409423828,6.02683735,,31.2,11.3,7.3,80.6365853658537,497783.0,58848.0,1.55508053302765,0.166747763752937,1.00428225955474
Luxembourg,2010-01-01,50.8999945619664,34.4538272103664,2574.46,934.0,188.393937143529,2.03858494758606,0.201939761638641,100.0,3.68,16829.9625409062,11029.1,12034.51682,196.916246513832,2.2736791162154,,,1.4237300157547,,23.8178404378116,37.5877794617632,1.71641802787781,0.238180130720139,0.700203478336334,,,,90.62,3.98,0.441009496679635,56213985987.4168,1.46121859550476,0.255335241556168,1.84410035610199,0.172366604208946,1.67390942573547,0.254995703697205,5.01190233230591,5.72467899,17.1,30.5,11.6,7.4,80.6317073170732,506953.0,58061.0,1.57483577728271,0.163703367114067,1.97211624836438
Luxembourg,2011-01-01,50.9893336855108,34.4538272103664,2574.46,934.0,196.753821756186,2.15315341949463,0.19632576406002,100.0,3.76,15586.084225432,10906.8,11901.70845,201.342029008025,3.41068341068342,,,1.42453002929688,,23.9870478540645,37.7583197126326,1.74265909194946,0.232470527291298,,,,,90.02985856,,0.376775588804359,61696281326.2453,1.31742680072784,0.252362549304962,1.82353007793427,0.162708222866058,1.85898303985596,0.252882987260818,4.98958110809326,5.0190835,16.8,32.1,10.9,7.4,80.9878048780488,518347.0,57505.0,1.60453939437866,0.161986157298088,0.771893802850604
