country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides,debt_to_gdp%,gov_expenditure%,gdp_growth%,tax_revenue_gdp%,inflation_adjusted_gdp
Nauru,1960-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.251,11.139,58.572,4582.0,0.0,,,,,,0.0,,
Nauru,1961-01-01,15.0,,20.0,,,,,,,,,,237.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.148,10.618,58.665,4753.0,0.0,,,,,,0.0,,
Nauru,1962-01-01,15.0,,20.0,,,,,,,,,,247.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.041,10.206,58.862,4950.0,0.0,,,,,,0.0,,
Nauru,1963-01-01,15.0,,20.0,,,,,,,,,,259.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.305,9.898,58.902,5198.0,0.0,,,,,,0.0,,
Nauru,1964-01-01,15.0,,20.0,,,,,,,,,,274.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.612,9.597,58.997,5484.0,0.0,,,,,,0.0,,
Nauru,1965-01-01,20.0,,20.0,,,,,,,,,,290.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.609,9.182,59.288,5804.0,0.0,,,,,,0.0,,
Nauru,1966-01-01,20.0,,20.0,,,,,,,,,,301.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.972,8.926,59.263,6021.0,0.0,,,,,,0.0,,
Nauru,1967-01-01,20.0,,20.0,,,,,,,,,,305.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.47,8.572,59.662,6114.0,0.0,,,,,,0.0,,
Nauru,1968-01-01,20.0,,20.0,,,,,,,,,,314.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.314,8.418,59.824,6288.0,0.0,,,,,,0.0,,
Nauru,1969-01-01,20.0,,20.0,,,,,,,,,,325.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.158,8.196,59.972,6508.0,0.0,,,,,,0.0,,
Nauru,1970-01-01,20.0,,20.0,,,,,,,,,,333.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.464,8.101,60.042,6663.0,0.0,,,,,,0.0,,
Nauru,1971-01-01,20.0,,20.0,,,,,,,,,,338.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.486,7.967,60.341,6778.0,0.0,,,,,,0.0,,
Nauru,1972-01-01,20.0,,20.0,,,,,,,,,,344.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.648,7.949,60.449,6883.0,0.0,,,,,,0.0,,
Nauru,1973-01-01,20.0,,20.0,,,,,,,,,,349.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.046,7.977,60.529,6990.0,0.0,,,,,,0.0,,
Nauru,1974-01-01,20.0,,20.0,,,,,,,,,,354.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.637,7.9,60.864,7096.0,0.0,,,,,,0.0,,
Nauru,1975-01-01,20.0,,20.0,,,,,,,,,,359.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.519,7.991,60.927,7199.0,0.0,,,,,,0.0,,
