country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides
Sri Lanka,1961-01-01,27.4756817094562,,62710.0,1712.0,,,,,,,,,159.829181948653,1.1344436397999,,,,,,,,,,,,,,,1.18327272727273,1444327731.09244,,,,,,,,,,,35.672,10.507,61.328,10022888.0,8359890.0,,,
Sri Lanka,1962-01-01,27.220538988997,,62710.0,1712.0,,,,,,,,,163.722962844841,1.50357995251549,,,,,,,,,,,,,,,1.08285509325681,1434156378.60082,,,,,,,,,,,35.113,10.096,61.733,10267067.0,8547025.0,,,
Sri Lanka,1963-01-01,32.8496252591293,,62710.0,1712.0,,,,,,,,,167.716966990911,2.27290539996214,,,,,,,,,,,,,,,0.897791926307234,1240672268.90756,,,,,,,,,,,34.809,9.814,61.976,10517531.0,8738385.0,,,
Sri Lanka,1964-01-01,33.5353213203636,,62710.0,1712.0,,,,,,,,,171.808100781375,3.19564717604592,,,,,,,,,,,,,,,0.851725907866034,1309747899.15966,,,,,,,,,,,34.432,9.573,62.174,10774086.0,8940983.0,,,
Sri Lanka,1965-01-01,34.3804815818849,,62710.0,1712.0,,,,,,,,,175.97231701483,0.222783306254021,,,,,,,,,,,,,,,0.852610094012865,1698319327.73109,,,,,,,,,,,33.78,9.206,62.637,11035224.0,9147097.0,,,
Sri Lanka,1966-01-01,35.1618561632913,,62710.0,1712.0,,,,,,,,,180.190097273162,-0.155601659973846,,,,,,,,,,,,,,,0.872915916996522,1751470588.23529,,,,,,,,,,,33.114,8.884,63.055,11299721.0,9355378.0,,,
Sri Lanka,1967-01-01,35.9591771647265,,62710.0,1712.0,,,,,,,,,184.516153723489,2.18923933203517,,,,,,,,,,,,,,,0.845136660396149,1859465020.57613,,,,,,,,,,,33.15,8.594,63.51,11571008.0,9568761.0,,,
Sri Lanka,1968-01-01,37.011640886621,,62710.0,1712.0,,,,,,,,,188.914287992346,5.86056644898579,,,,,,,,,,,,,,,0.79453205188019,1801344537.81513,,,,,,,,,,,32.292,8.392,63.777,11846815.0,9785232.0,,,
Sri Lanka,1969-01-01,37.1232658268219,,62710.0,1712.0,,,,,,,,,193.257965236804,7.45695273372576,,,,,,,,,,,,,,,0.807396323215049,1965546218.48739,,,,,,,,,,,31.396,8.216,63.993,12119207.0,9998346.0,,,
Sri Lanka,1970-01-01,37.2029979269654,,62710.0,1712.0,,,,,,,,,197.556514112582,5.86695607765968,,,,,,,,,,,,,,,0.916642271662763,2296470588.23529,,,,,,,,,,,30.631,7.587,65.267,12388769.0,10208593.0,,,
Sri Lanka,1971-01-01,37.2986764471376,,62710.0,1712.0,,,,,,58.0814121227049,,,201.796380162653,2.66538020859991,,,,,,,,,,,,,,,1.3626334519573,2369308600.33727,,,,,,,,,,,29.725,7.269,65.922,12654651.0,10415157.0,,,
Sri Lanka,1972-01-01,37.3943549673098,,62710.0,1712.0,,,,,,64.6562220928065,,,205.939355764631,6.34948605013613,,,,,,,,,,,,,,,,2553936348.40871,,,,,,,,,,,29.313,7.321,65.828,12914457.0,10616200.0,,,
Sri Lanka,1973-01-01,37.4900334874821,,62710.0,1712.0,,,,,,66.8957929835653,,,210.010157869558,9.62664310171122,,,,,,,,,,,,,,,0.874809823951315,2875625000.0,,,,,,,3.31640005111694,,,,28.814,7.28,65.939,13169737.0,10812881.0,,,
Sri Lanka,1974-01-01,37.5857120076543,,62710.0,1712.0,,,,,,67.4453260612615,,,213.973465157072,12.3028867952472,,,,,,,,,,,,,,,0.795086449875899,3574586466.16541,,,,,,,,,,,27.923,7.25,65.999,13418276.0,11003523.0,,,
Sri Lanka,1975-01-01,37.6176048477117,,62710.0,1712.0,5.03646392641047,,,,,71.4344633079734,,,217.873911656833,6.62599255320979,,,,,,,,,,,,,,,0.803589569928886,3791298145.50642,,,,,,,2.74454998970032,,,,27.86,7.181,66.237,13662873.0,11190303.0,,,
