country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides
Ukraine,1989-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80731578947.3684,,,,,,,,,,,13.3,11.6,70.519512195122,51773000.0,17231090.0,,,
Ukraine,1990-01-01,,,,,,,,100.0,0.65,4787.53704852827,688618.9,825869.7083,,,,,,,,,,,,,,,0.0,,,79523809523.8095,,,,,,,,,,,12.6,12.1,70.0975609756098,51891400.0,17250258.0,,,4.95834284506185
Ukraine,1991-01-01,,,,,,,,100.0,0.7,4643.26304554764,651932.0,783349.858,,,,,,,,,,,,,,,0.0,,,76666666666.6667,,,,,,,,,,,12.1,12.9,69.2980487804878,52000500.0,17266246.0,,,5.12455131993821
Ukraine,1992-01-01,72.3724864071805,16.0890653318374,579350.0,565.0,,,,100.0,0.6,4313.5239614653,574642.6,693934.0716,90.0153620436696,,-90.5953895690587,,,,,,,,,,,,0.0,,0.318087308387542,73906020558.0029,,,,,,,,,,29.7,11.4,13.4,68.7709756097561,52150400.0,17295680.0,,,6.50765667808632
Ukraine,1993-01-01,72.3051695866057,16.1298006386468,579350.0,565.0,,,,100.0,0.89,3953.28023426959,499314.9,610485.6506,90.0650729265556,4734.91434744585,-91.7214816284213,,,,,,,,,,,,0.00077697,,0.352352877377782,65648189143.7174,,,,,,,,,,28.9,10.7,14.2,68.1307317073171,52179200.0,17284882.0,,,7.13810923248089
Ukraine,1994-01-01,72.2551134892552,16.1705359454561,579350.0,565.0,8.61281855571958,,,100.0,1.1,3475.13741925295,415669.9,520840.1969,89.6200914818331,891.187748133705,-66.7345983429954,,,,,,,,,,,,0.013641246,,1.79834026745969,52549580264.8064,,,,,,,,,,,10.0,14.7,67.5412195121951,51921400.0,17179753.0,,,8.20201116499013
Ukraine,1995-01-01,72.2413049106758,16.2112712522655,579350.0,565.0,9.76482767577181,,,100.0,0.98,3348.89580842043,399250.1,497353.5873,88.9148183308881,376.746174768209,-56.8251776566729,,,,,,,,,,,,0.043083985,,2.03595743178689,48213856468.5718,,,,,,,,,,39.3,9.6,15.4,66.7419512195122,51512800.0,17024465.0,,,8.63080850033778
Ukraine,1996-01-01,72.2188659704842,16.2520065590748,579350.0,565.0,15.0183473153498,-1.11013698577881,0.255844444036484,100.0,0.9,3060.3355412885,346111.3,436702.317,88.1294554241823,80.3255014551742,8.2684504949766,,,,,,-0.670080244541168,0.176662519574165,,,,,0.098580381,,2.19078630905066,44558831005.0621,-0.152148813009262,0.409431099891663,-0.823546648025513,0.189243793487549,-0.418921560049057,0.282829731702805,,,,35.2,9.2,15.2,67.0224390243903,51057800.0,16854180.0,-0.324850231409073,0.236476689577103,9.67281056421854
Ukraine,1997-01-01,72.2430309829982,16.2927418658842,579350.0,565.0,14.4980617126332,,,100.0,1.02,2958.55684203453,328244.8,412893.4998,87.3299387244326,15.940599414943,26.2910759245073,,1.19229996204376,,,,,,,,,,0.198821885,,2.79497910969606,50151531591.7317,,,,,,,5.45600986480713,,,,8.7,14.9,67.5763414634146,50594600.0,16681546.0,,,8.43343536408138
Ukraine,1998-01-01,71.8235954086476,16.3334771726935,579350.0,565.0,16.8375719435049,-1.25820994377136,0.172825291752815,100.0,1.58,2839.45397800357,309288.0,384992.3132,86.5530335721067,10.5771611482514,37.9286524289287,,1.06992995738983,,,,-0.848181307315826,0.213521480560303,,,,,0.301075792,,2.10598171305119,41882523345.1804,-0.120933815836906,0.345668405294418,-0.982280313968658,0.188647657632828,-0.707292854785919,0.267929434776306,4.44884014129639,,,,8.4,14.4,68.3748780487805,50144500.0,16514088.0,-0.240636587142944,0.214446097612381,8.43286018052472
