country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides,year
Afghanistan,2010-01-01,58.134400441562,1.85278199408184,652230.0,327.0,20.2653077815942,-1.64539110660553,0.195122539997101,42.7,15.15,,8576.15,28585.90265,43.2204467749107,2.17853752389414,11.3640937400601,,,,9.16975191915408,50.8630045999057,-1.47831559181213,0.2329041659832,,,,,4.0,2.24,1.94583569418812,15856668496.388,-2.57915186882019,0.282069832086563,-1.87005805969238,0.179176971316338,-1.51652824878693,0.179445862770081,3.4794499874115,0.46915731,,,40.602,8.254,60.851,28189672.0,21498290.0,-1.40446734428406,0.143254607915878,3.4870927196315,2010
Afghanistan,2021-01-01,58.7415482268525,1.85278199408184,652230.0,,,-1.15232741832733,0.182760819792747,97.7,17.86,,,,61.4805544056544,,,,,,,,-1.66956210136414,0.300028264522552,,,,58.0141666666667,,,1.827933856217,14266499429.8746,-2.51853036880493,0.24306446313858,-1.87635684013367,0.171970620751381,-1.31168210506439,0.22888158261776,,0.55571794,,,35.842,7.344,61.982,40099462.0,29547690.0,-1.56788992881775,0.134174570441246,4.02249785795131,2021
Africa Eastern and Southern,2010-01-01,45.6291327248899,32.5834154809305,14720957.055,,11.4625800634345,,,27.4001102274899,63.0998368387508,734.305770843244,532614.140224,1296316.122926,35.5588060643249,5.53753791645677,,,0.586981535422348,,17.3214108426008,23.7136969742878,,,,,,,5.29697361379769,2.38,1.53515344885747,867040920627.224,,,,,,,4.49659013748169,2.80052074788205,,,37.94026040159,9.93944940849568,58.4111497501441,523459657.0,355003581.0,,,,2010
Africa Eastern and Southern,2021-01-01,46.485779313587,29.9551940597337,14845090.094,,8.61068590291998,,,48.1036086917626,,,,,47.354182530972,6.82472709282067,,,,,,,,,,,13.2388888888889,,27.660653781351,,1.00549680564244,1086530704900.5,,,,,,,4.63225483894348,,,,33.5462662739603,8.03689904019719,62.4545896453863,702977106.0,440600045.0,,,,2021
Africa Western and Central,2010-01-01,38.7560434368291,20.6740115280274,9045780.0,,9.20558784021089,,,41.8393089883196,80.9395137178094,162.667269595437,159573.957,681727.059768,39.3927070965688,1.78484420477113,,,,,,,,,,,,,7.24253015229823,2.46388888888889,0.832690093165381,598607469639.526,,,,,,,3.0144100189209,0.675728993301916,,,41.2196289494656,12.492764849511,54.550169165108,356337762.0,207933213.0,,,,2010
Africa Western and Central,2021-01-01,40.2593615824761,19.7320365324224,9045773.0,,8.7008433677489,,,54.2241873184273,,,,,52.862912544898,3.65353287214209,,,,,,,,,,,32.2928571428571,,46.9904973070537,,1.16545522050715,844927536437.833,,,,,,,3.2829704284668,,,,36.237033763471,10.6789520483923,56.9886567820139,478185907.0,246481855.0,,,,2021
Albania,2010-01-01,43.8430656934307,28.542700729927,27400.0,1485.0,38.4822006190999,-0.531616508960724,0.145589306950569,99.6442031860352,36.99,1943.34335385842,4785.4,9243.210309,106.314635036496,3.62604695579816,7.97103659621924,6.99624473827277,,,,,-0.279453217983246,0.22378046810627,0.54360294342041,,,,45.0,2.46,1.55859189302349,11926926615.8015,-0.191482901573181,0.260473906993866,-0.385760486125946,0.145244270563126,0.233281955122948,0.180459469556808,3.41307497024536,2.37874556,,,11.92,7.029,77.936,2913021.0,1393502.0,0.123838223516941,0.130565851926804,4.08457542468858,2010
Albania,2021-01-01,41.471897810219,28.7919708029197,27400.0,,34.0939821694784,-0.576535522937775,0.162024855613708,100.0,,,,,102.615547445255,2.04147163139549,2.48151251479627,4.97333333333334,,82.3836112949451,18.1985894411308,24.5363331196553,-0.0353600680828094,0.258666574954987,,,,83.4404166666667,79.32371752,,1.22084466120546,17930565118.8176,0.196294024586678,0.234690770506859,-0.280372351408005,0.148805677890778,0.175859391689301,0.220166966319084,3.09042119979858,,,,10.24,11.325,76.463,2811666.0,1041188.0,0.0859144106507301,0.126804634928703,2.31196864129807,2021
Algeria,2010-01-01,17.3713335628574,0.805293608874184,2381740.0,89.0,9.5138059876771,-0.552147269248962,0.173173040151596,98.9109039306641,0.26,1020.07053479853,114179.4,210955.5444,15.0546843904037,3.91106195534028,-6.9927508031069,7.68666666666667,,,,,-0.395901709794998,0.225383639335632,0.531282901763916,,,,12.5,2.36,3.51801260882618,161207307027.185,-1.25936758518219,0.243547096848488,-0.816793382167816,0.155906692147255,-1.10480070114136,0.204706117510796,,3.55552173,,,24.458,4.754,73.808,35856344.0,11638969.0,-1.02233076095581,0.110140830278397,0.708382325710373,2010
Algeria,2021-01-01,17.347004145287,0.822227647758509,2381741.0,,6.19639216482748,-0.635657608509064,0.178580597043037,99.7878265380859,,,,,18.5486033116111,7.22606307415477,-6.5481071956659,5.0,,,,,-0.653295338153839,0.247155651450157,,,,63.9708333333333,70.77,,5.58544666775166,163472387986.768,-0.992437243461609,0.234690770506859,-0.832210958003998,0.165474444627762,-1.18196296691895,0.223367989063263,6.29934740066528,,,,21.524,4.546,76.377,44177969.0,11370967.0,-1.00932395458221,0.120992064476013,1.57318234314011,2021
