country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides,GDP per capita,year
Afghanistan,2019-01-01,58.2769881790166,1.85278199408184,652230.0,327.0,9.91813401747342,-1.41949915885925,0.154592856764793,97.7,18.51,,11238.83,32736.76917,57.9082516903546,2.30237251516819,,,,,,,-1.51861417293549,0.245630532503128,,173.0,,49.75625,17.6,,1.17096838242129,18799444414.5998,-2.65240693092346,0.237725615501404,-1.74131882190704,0.158325582742691,-1.11377799510956,0.19708089530468,,0.49705607,,,36.466,6.791,63.565,37769499.0,28042342.0,-1.00657486915588,0.127118185162544,7.18039716624779,497.7414292575022,2019
Africa Eastern and Southern,2019-01-01,46.4193745468007,30.3916259482678,14845129.404,,10.6367348566437,,,44.3897728327672,63.3870896989865,,610723.5,1430850.662142,44.9469295848787,4.65366473106483,,,,,18.5886620658598,25.2993097570055,,,,,,,22.5895907084388,,1.07389823988534,1006191000190.48,,,,,,,4.54195022583008,2.78908271479655,,,34.3414501958511,7.43464404886078,63.7556779176533,667242986.0,424791846.0,,,,1507.9828807529495,2019
Africa Western and Central,2019-01-01,40.0973890919302,19.9012147100637,9045780.0,,12.1538164698588,,,51.1608170294888,75.3289283798123,,222990.35,862224.588584,50.2229838665101,1.76011151192938,,,,,,,,,,,,,35.2764479325331,,0.800920249308933,823405580187.913,,,,,,,3.10023534297943,0.752565706673,,,37.02783362633,10.4887479307689,57.5557955517512,454306063.0,239621856.0,,,,1812.4468221942109,2019
Albania,2019-01-01,42.8467153284672,28.7919708029197,27400.0,1485.0,40.2638961581812,-0.563899636268616,0.146152630448341,100.0,40.11,,4993.3,9196.36286,104.167554744526,1.41109078954246,4.95650401841986,,,75.6984882494976,18.1443771903866,23.1506546473696,-0.0621441006660461,0.233657479286194,,82.0,10.9,75.3829166666667,68.55039112,,1.28080596201472,15401826127.2539,0.110049679875374,0.229520440101624,-0.425378829240799,0.146527513861656,0.272065460681915,0.203257471323013,3.91623997688293,2.86730385,46.2,30.1,10.343,8.48,79.282,2854191.0,1106598.0,0.141880303621292,0.121714629232883,2.26174791010144,5396.214243284315,2019
Algeria,2019-01-01,17.347004145287,0.814110350369751,2381741.0,89.0,7.67200166253342,-0.655895113945007,0.173814848065376,99.5,0.16,,170582.4,279200.6234,17.9303156808402,1.95176821052892,8.51225743940922,5.09583333333333,,,,,-0.56773042678833,0.216119185090065,,157.0,,55.1491666666667,58.97757455,,5.99969025937654,171760275466.61,-1.05582988262177,0.234910249710083,-0.861796259880066,0.16881899535656,-1.38831329345703,0.220875322818756,6.03690671920776,4.06651545,,,23.298,4.392,76.474,42705368.0,11449736.0,-1.05331110954285,0.123945876955986,1.21530387918325,4021.983266052408,2019
American Samoa,2019-01-01,14.2,85.8,200.0,,,1.78070986270905,0.407291561365128,,0.5,,,,236.605,,,,,,,,0.490093946456909,0.461858510971069,,,,,,,,647000000.0,1.14571797847748,0.315212190151215,1.26845979690552,0.491095125675201,-0.325278997421265,0.486127644777298,,,,,,,,47321.0,6082.0,1.32377099990845,0.500275909900665,0.0,13672.576657298028,2019
Andorra,2019-01-01,40.0002127659574,34.0425531914894,470.0,,87.5795534623769,1.17659223079681,0.407291561365128,100.0,18.46,,479.984,605.715596,162.431914893617,,,,,,,,1.85206508636475,0.461858510971069,,,,,90.71866533,,,3155150255.91195,1.57721149921417,0.280839860439301,1.51048481464386,0.491095125675201,1.22192621231079,0.486127644777298,3.15060997009277,5.30793858,,,7.0,3.9,,76343.0,9173.0,1.10841190814972,0.218158170580864,,41328.61239291029,2019
Angola,2019-01-01,36.7987486965589,53.8721745407877,1246700.0,1010.0,12.1679825645004,-1.05841791629791,0.159572899341583,45.6338806152344,54.39,,24382.9,78672.38408,25.9513820486083,17.0797044074953,0.09091878728126,6.210992205655,,,10.090385804431,16.6849522138374,-1.12856233119965,0.213423416018486,,177.0,,54.9458333333333,32.12939197,,1.73907015919852,70897962712.6213,-0.370094686746597,0.217577815055847,-1.02519094944,0.16688746213913,-0.833844542503357,0.212580502033234,2.07306432723999,1.09448123,,,39.725,7.811,62.448,32353588.0,10942954.0,-0.793237388134003,0.119982153177261,,2191.3477637355495,2019
Antigua and Barbuda,2019-01-01,20.4545454545455,18.5909090909091,440.0,1030.0,98.3964993261762,0.239498108625412,0.26157134771347,100.0,0.69,,509.0,1211.480385,209.356818181818,1.43135598182984,7.83657471966319,,,,,,-0.0546945296227932,0.461858510971069,,113.0,,,95.70763132,,,1725351851.85185,0.937967896461487,0.271763026714325,0.363741606473923,0.323601931333542,0.470356702804565,0.35491070151329,3.4573450088501,2.55713224,,,11.485,5.865,78.691,92117.0,69543.0,0.731873512268066,0.203940510749817,3.25674553418769,18730.00479663743,2019
Arab World,2019-01-01,39.9070309065028,2.82662078765584,13100544.0,,17.4423050233036,,,90.3528022912948,4.73230713602678,,1845846.37,2796418.0348,33.6984280194777,1.04883403678997,,,,,,,,,,,,,60.7310291575392,,5.40647452851313,2871654771820.86,,,,,,,,2.59513148074784,,,24.5986203848929,5.19886642116107,71.8446260250446,441467739.0,181514684.0,,,,6504.789632704871,2019
Argentina,2019-01-01,42.5907792625398,10.4801786099266,2736690.0,591.0,7.693501885565,-0.106940247118473,0.134961605072021,100.0,10.74,,168162.0,374523.504,16.4208266190179,,12.1039696489828,,0.478130012750626,,10.5943975145081,22.036480926619,-0.120677568018436,0.211166545748711,,126.0,,64.5958333333333,79.94695203,,0.699696134379197,447754683615.225,-0.0978643074631691,0.223971575498581,-0.427303701639175,0.148520514369011,-0.453079700469971,0.190103381872177,4.77759981155396,6.05942106,,43.3,14.783,7.6,77.284,44938712.0,3599141.0,0.571178674697876,0.122207336127758,5.15582342098159,9963.674161716628,2019
Armenia,2019-01-01,58.9041095890411,11.5447839831401,28470.0,562.0,36.37704106636,-0.226975172758102,0.15210647881031,100.0,10.34,,6195.6,9874.86109,99.0727783631893,1.44344660770698,10.9595785635957,6.10504728650153,0.178540006279945,50.0284206863703,22.2851709900772,21.7584805720085,-0.225958585739136,0.229168638586998,,47.0,,82.2266666666667,66.54394969,,4.78770584078564,13619290539.2116,-0.420044243335724,0.234910249710083,-0.177528098225594,0.154627308249474,0.242604270577431,0.212580502033234,2.57191228866577,1.41167367,,30.0,12.892,9.662,75.439,2820602.0,1037446.0,0.0547256655991077,0.12712536752224,2.58810044595098,4828.504886265981,2019
Aruba,2019-01-01,11.1111111111111,2.33333333333333,180.0,,102.085175720162,1.17470288276672,0.284793734550476,100.0,8.18,,,,591.344444444444,4.25746204335428,-0.371564186967096,,,,,,0.98783677816391,0.328059256076813,,,,,,,,3395798882.68156,1.33566856384277,0.266850560903549,1.22776162624359,0.207147970795631,0.846234202384949,0.359159141778946,,,,,9.138,8.778,76.248,106442.0,60091.0,1.26255750656128,0.267254561185837,,31902.80981831946,2019
Australia,2019-01-01,47.1237724290889,17.4213145571644,7692020.0,534.0,10.2002969442119,1.78817307949066,0.147890657186508,100.0,10.06,,395199.1,613604.7013,3.29365056253104,1.61076787290379,1.58246506184137,,1.82892000675201,60.141986685415,23.3757529325009,26.1399498062093,1.53876042366028,0.228583186864853,,14.0,,88.2416666666667,93.60991916,,1.88104345418486,1394671325960.57,0.917313098907471,0.20880027115345,1.69447183609009,0.158626571297646,1.86464607715607,0.220609843730927,5.13429021835327,7.5498395,,,12.1,6.7,82.9,25334826.0,3515460.0,1.26963520050049,0.132247120141983,0.887322993851443,55049.57191971913,2019
Austria,2019-01-01,32.1280901599612,47.2074648570044,82520.0,1110.0,32.0430703699645,1.521409034729,0.144624561071396,100.0,33.98,,64497.8,76622.88544,107.609306834707,1.53089564152644,,,3.13246989250183,83.0969293777453,25.5828349182075,43.555519050758,1.49224412441254,0.216184705495834,,27.0,,89.12,87.75220479,,0.75035965749035,444596155845.254,0.892080426216125,0.223971575498581,1.86225032806396,0.15516597032547,1.44640731811523,0.220609843730927,5.21750020980835,7.84675264,16.9,30.2,9.6,9.4,81.8951219512195,8879920.0,3683835.0,1.33687436580658,0.122978195548058,0.867123024880969,50067.585726589205,2019
Azerbaijan,2019-01-01,57.8278123260822,13.5533670481767,82654.0,447.0,21.4304830633431,-0.849424362182617,0.15210647881031,100.0,1.62,,35521.0,56536.8442,121.280071139933,2.61057182799215,17.5649086189187,,0.200130000710487,,14.2188526451777,24.2843379790515,-0.12810717523098,0.229168638586998,,28.0,13.9,68.14125,81.09999907,,3.87341170306515,48174235294.1176,-0.693412125110626,0.234910249710083,-0.610212206840515,0.154627308249474,-0.223895654082298,0.212580502033234,3.1764600276947,1.27820647,,,14.1,5.6,73.102,10024283.0,4407577.0,-1.52881360054016,0.125919014215469,1.64178691697142,4805.753717659169,2019
