country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides,debt_to_gdp%,gov_expenditure%,gdp_growth%,tax_revenue_gdp%,inflation_adjusted_gdp,year
Afghanistan,2002-01-01,57.9396838538552,1.85278199408184,652230.0,327.0,,-1.25113701820374,0.352838128805161,14.1336164474487,37.83,,1403.03,15255.39353,32.1976235377091,,,,,,,,-1.58768701553345,0.259350627660751,,,,,0.004561395,,,3825701405.51958,-2.03503370285034,0.436297506093979,-1.67347323894501,0.296793252229691,-1.81154572963715,0.301608979701996,,0.08418062,,,48.201,11.28,56.454,21000256.0,16325389.0,-1.43342101573944,0.189453408122063,,,,9.972251988173864,,,2002
Africa Eastern and Southern,2002-01-01,44.6360510172829,34.3574518424902,14571611.0,,11.3476813998015,,,21.576500005381,65.1521153198181,762.543065970778,406488.162257,1022654.885109,29.0112821430657,8.76375366426173,,,,,,,,,,,,,1.1316294433033,,2.02426694021384,267142068310.105,,,,,,,,1.92114224981196,,,40.0473245655938,13.3095890478815,52.540794004192,422741118.0,298513611.0,,,,,,2.6606287387058725,,245616815630.2647,2002
Africa Western and Central,2002-01-01,37.2908814718023,21.411029142871,9045780.0,,10.927519322759,,,35.7229258751679,81.8649253938099,132.579980068487,138656.59,581223.139454,31.501133346157,3.18869330220589,,,,,,,,,,,,,0.412121735356163,,1.10202505724262,176588559103.843,,,,,,,2.58010494709015,0.704398976767399,,,42.92712139574,15.0069056553924,50.9278483335328,284952322.0,180788340.0,,,,,1.461082733889299e-09,19.70099695739833,,171131694231.91837,2002
Albania,2002-01-01,41.6058394160584,28.1698540145985,27400.0,1485.0,26.9593284811972,-0.8453409075737,0.217465132474899,99.4045791625977,35.82,1578.16591882688,3761.9,8759.443411,111.350729927007,7.77052583431552,11.2464777871879,5.8171221666667,,,16.4842422693753,24.8318781136964,-0.624333381652832,0.232496976852417,,,,,0.390081273,,1.32003449433204,4348068242.19512,-0.297719180583954,0.392881572246552,-0.762321412563324,0.209525004029274,-0.311400771141052,0.2362419962883,3.11779999732971,2.58867884,,31.7,15.209,5.953,75.89,3051010.0,1723790.0,-0.008150209672749,0.169131875038147,6.91520644292345,,7.17054062554384e-08,10.860696118681812,3.791164570373265e-07,4034561591.431559,2002
Algeria,2002-01-01,16.7335645368512,0.691427275857146,2381740.0,89.0,,-0.928754985332489,0.212332636117935,98.6273574829102,0.51,736.13355840638,82404.3,165592.4705,13.2779799642278,1.41830192345051,7.16825385979746,5.72083333333333,0.366400003433228,,,,-0.614207327365875,0.199642837047577,,,,,1.59164126,,3.70082935899902,56760355865.0082,-1.63456511497498,0.316015273332596,-0.636733174324036,0.19941021502018,-0.574951589107513,0.231155306100845,,2.8079257,,,19.421,4.932,71.23,31624696.0,12175192.0,-1.04466021060944,0.159148961305618,,,,3.6819235748863255,,55966580773.40945,2002
American Samoa,2002-01-01,11.65,88.35,200.0,,,,,,0.0,,,,290.885,,,,,,,,,,,,,,,,,512000000.0,,,,,,,,,,,,,,58177.0,6752.0,,,12.0322464204067,,,-99.73743381006038,,,2002
Andorra,2002-01-01,48.6170212765957,34.0425531914894,470.0,,,1.31074380874634,0.427986711263657,100.0,15.83,,531.28,604.710044,150.742553191489,,,,,,,,1.36772322654724,0.295856952667236,,,,,11.26046872,,,1755989353.9328,1.28276693820953,0.518141508102417,1.22384059429169,0.355229288339615,1.42246282100677,0.366997271776199,1.65971004962921,3.97611761,,,11.2,,,70849.0,5922.0,1.43712818622589,0.272817552089691,,,9.451709065957842e-08,13.515764128527508,,,2002
Angola,2002-01-01,35.6445014839175,61.4409946258121,1246700.0,1010.0,23.0857192292909,-1.15549266338348,0.212332636117935,26.320255279541,70.42,86.0349418327863,15689.5,60758.93298,14.0500032084704,108.897436089429,-33.5534010972108,,,,15.5328118307446,21.1229588884631,-1.13215708732605,0.199642837047577,,,,,0.270376746,,2.86993244512575,15285592486.2532,-1.5761798620224,0.316015273332596,-1.63334381580353,0.212898671627045,-1.29413509368896,0.239814028143883,,1.30862689,,,47.448,17.275,47.386,17516139.0,8326997.0,-1.23877906799316,0.159148961305618,,,,71.0547999428567,1.0161733570166634e-07,7317271466.993707,2002
Antigua and Barbuda,2002-01-01,20.4545454545455,21.1727272727273,440.0,1030.0,69.4604850761541,0.85021036863327,0.427986711263657,100.0,0.0,,335.1,647.976092,175.443181818182,2.40765801293491,10.6116383233641,4.387913378312,,,,,0.568053841590881,0.295856952667236,,,,,12.5,,,814381481.481481,0.792559921741486,0.518141508102417,1.03455221652985,0.355229288339615,0.698325157165527,0.366997271776199,3.39525008201599,3.09016109,,,17.202,6.072,75.536,77195.0,53189.0,0.336637645959854,0.272817552089691,6.47710343934193,,4.1691150391086074e-07,1.736454911395913,,795234943.6392913,2002
Arab World,2002-01-01,39.7529968083444,3.52224655879312,13611431.0,,14.574441975136,,,81.904018690261,6.36058400508412,1618.8074704858,1019038.88,1679138.396809,22.0416685064193,1.8329938900205,,,,,,,,,,,,,2.79782204919422,,5.78958062186032,808316115359.455,,,,,,,5.03286671638489,2.36627083258846,,,28.36912402169,6.11731128146867,67.9355701632582,300018650.0,139309363.0,,,,,6.226359490738094e-10,0.6337135935521543,,793766425282.9838,2002
Argentina,2002-01-01,47.031267699301,11.9652572998769,2736690.0,591.0,8.47726212553586,-0.417055726051331,0.179225131869316,96.0960006713867,11.62,2003.66751741611,117462.1,284403.3884,13.8433757568449,,,,0.388859987258911,,9.81895834666325,19.6771706443151,-0.228479072451591,0.178269043564796,,,,,10.88212438,,1.09188047859748,97724004251.8602,-0.776545405387878,0.286041706800461,-0.761098086833954,0.174584195017815,-0.880716562271118,0.208488583564758,4.01734018325806,4.03350496,,53.8,18.756,7.518,74.408,37885028.0,3974139.0,0.260062754154205,0.161941558122635,9.42324762172539,,4.110904187782081e-09,-63.630373552393095,1.0047642257226013e-08,,2002
Armenia,2002-01-01,48.8584474885845,11.6692658939234,28470.0,562.0,20.8767438185051,-0.77816516160965,0.217465132474899,98.0,8.9,1208.03713450113,3118.7,5773.022041,109.063470319635,1.06004929341667,18.347069280194,6.3873345245374,0.252550005912781,,,,-0.0457692667841911,0.232496976852417,,,,,1.960405046,,2.69771474886414,2376335048.39976,-0.255784124135971,0.392881572246552,-0.438531368970871,0.209525004029274,0.0563336461782455,0.2362419962883,2.13504004478455,1.17184055,,34.8,12.19,8.593,71.018,3105037.0,1110485.0,-0.444421142339706,0.169131875038147,2.22219538411372,,8.984591824382259e-08,12.172340840874906,,2351408954.3933764,2002
Aruba,2002-01-01,11.1111111111111,2.33333333333333,180.0,,93.6591964006035,,,100.0,0.18,,,,509.894444444444,3.31524678585423,6.57378371237202,,,,,,,,,,,,18.8,,,1961843575.41899,,,,,,,4.87177991867065,,,,12.992,6.42,73.726,91781.0,49587.0,,,5.44775062376745,,2.4832662398326976e-07,3.4478289123675454,,1898890663.7230265,2002
Australia,2002-01-01,58.1856995951733,17.0991109433373,7682300.0,534.0,9.57381992000989,1.76143634319305,0.15871924161911,100.0,8.74,10899.7543499147,353315.8,630234.9976,2.53767882014501,2.98157453936348,3.42491500912025,1.91246825396825,1.74749004840851,25.8835396049421,23.5481448774929,26.3570697710081,1.65919864177704,0.189597606658936,,,,,,,1.87396462061393,395788696012.059,1.18941462039948,0.286041706800461,1.76704657077789,0.183130890130997,1.42115557193756,0.226819545030594,5.30785512924194,5.66730642,,,12.8,6.8,79.9365853658537,19495210.0,3075954.0,1.40723323822021,0.187490850687027,1.87925103528248,6.539736952000638e-09,1.341083053337182e-09,4.256624624508176,5.949675954559205e-09,384329621859.4653,2002
Austria,2002-01-01,35.1696558410082,46.5723703344644,82520.0,1110.0,,1.91515922546387,0.179270550608635,100.0,24.68,7427.65644509121,69374.2,84500.38127,97.9393722733883,1.81035787764127,,,2.06597995758057,67.8118732502167,26.9755003214763,45.9729061942825,1.88022816181183,0.189597606658936,,,,,36.56,,0.88352783657309,214394866675.24,1.35895538330078,0.286041706800461,1.85791265964508,0.181529730558395,1.5380562543869,0.226819545030594,5.52213001251221,6.89934063,,,9.7,9.4,78.6780487804878,8081957.0,3260666.0,1.30749690532684,0.187490850687027,0.80455581587406,3.162942952031424e-08,2.5756820105571814e-09,8.549540957103652,1.2582157744633932e-08,210582568556.43915,2002
Azerbaijan,2002-01-01,57.4317945241957,12.0588116391101,82618.0,447.0,26.7147139347134,-1.1955019235611,0.173992276191711,100.0,2.35,1996.70825200839,26177.6,37660.28458,98.9124645960929,2.7711647199827,12.6244058764035,3.2516666666666,0.301550000905991,,,,-0.985208630561829,0.198863938450813,,,,,4.999713678,,2.24331377031766,6236087738.28284,-1.18536496162415,0.316015273332596,-0.964197218418121,0.178085401654243,-0.731832385063171,0.216738060116768,3.15445995330811,0.73446828,,25.3,13.5,5.7,66.239,8171950.0,3939942.0,-0.981288135051727,0.156691133975983,2.53221194566208,,5.0583957213160024e-08,9.259058698065273,,6067935257.203815,2002
"Bahamas, The",2002-01-01,1.0989010989011,50.9350649350649,10010.0,1292.0,34.6569760099582,1.41555559635162,0.359899759292603,100.0,0.38,,2068.8,2285.785381,33.3668331668332,2.17357792508093,1.96182798147075,3.505,,,8.99909471285283,10.3894085907697,1.25507593154907,0.259410440921783,,,,,18.0,,,8881160000.0,0.955541908740997,0.392881572246552,1.40098106861115,0.28353288769722,1.29762315750122,0.291396081447601,,1.50943291,,,17.161,5.785,72.232,334002.0,59813.0,1.18893682956696,0.241973489522934,15.5687690492871,,,6.772559670010092,1.0132792014616144e-07,8692227658.418829,2002
Bahrain,2002-01-01,13.6478873239437,0.563380281690141,710.0,83.0,21.9546720457831,0.791833281517029,0.205981373786926,100.0,0.0,19663.9423565194,17221.48,27655.51593,1053.97746478873,-0.495540138751154,4.82736149404246,6.65570071206053,,28.3796671065326,3.57899289191497,24.1325585779394,0.507285356521606,0.184152603149414,,,,,18.05072089,,4.61110660635053,9593510638.29787,0.290830373764038,0.316015273332596,0.545502603054047,0.189788058400154,0.867863118648529,0.222742363810539,,2.62110639,,,20.471,2.509,76.088,748324.0,87008.0,-0.571163654327393,0.173804000020027,1.06905493539233,2.958215003508649e-07,,6.87723144842296,3.730639415385036e-08,9641287085.699743,2002
Bangladesh,2002-01-01,71.8521932857033,14.70331796881,130170.0,2666.0,4.21400074091718,-1.44908678531647,0.195581659674644,37.7541275024414,54.47,121.462808517435,27284.2,120949.7469,1030.49724206806,3.33256493271909,8.38969935744544,,,31.863991518402,6.69138419067813,7.88712372772849,-0.726736128330231,0.184152603149414,,,,,0.139920289,,1.04836646260037,54724081490.5102,-1.03259038925171,0.300926953554153,-0.991601228713989,0.186060398817062,-1.05544149875641,0.222742363810539,2.01714992523193,0.55840307,,,27.968,6.597,66.612,134139826.0,100932171.0,-0.43222051858902,0.164575070142746,2.61145411057861,5.822663560635109e-08,3.686037061365255e-09,1.3572404887786993,1.2227494748977184e-08,52959182350.83163,2002
Barbados,2002-01-01,39.5348837209302,14.6511627906977,430.0,1422.0,45.1759687945328,1.48519396781921,0.352838128805161,100.0,6.97,,1206.3,3539.491551,619.662790697674,0.125249458055991,7.52383812960125,6.40333333333333,,,,,1.36772322654724,0.295856952667236,,,,,27.83632242,,,3106500000.0,1.09719908237457,0.436297506093979,1.49393892288208,0.281024992465973,1.08282780647278,0.338029325008392,5.88062000274658,3.13669062,,,13.77,9.296,74.366,266455.0,177376.0,1.23130881786346,0.240754872560501,9.38244731755831,,1.893004990422205e-07,1.7024062858078226,,3102613992.788463,2002
Belarus,2002-01-01,44.4956096021772,41.1400736581061,202829.0,618.0,15.1210344513606,-0.657884895801544,0.217465132474899,90.0068664550781,6.52,3000.7456250783,51752.9,80365.02168,48.6397310049352,42.5375481348794,-5.52846904718147,,0.620899975299835,12.3366860124798,14.2010383230738,24.6783838275634,-1.04380238056183,0.232496976852417,,,,,8.950971315,,1.40024580052512,14594900944.7658,0.302805960178375,0.392881572246552,-1.25031065940857,0.209525004029274,-1.39595544338226,0.2362419962883,,4.07934141,,30.3,8.9,14.8,68.0560975609756,9865548.0,2867027.0,-1.45189714431763,0.165699988603592,9.75789036186332,8.452737061503752e-08,,18.13122955083766,9.730136831224433e-08,10239337729.420631,2002
