country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides,GDP per capita
Afghanistan,1960-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537777811.111111,,,,,,,,,,,50.34,31.921,32.535,8622466.0,7898093.0,,,,62.369374505055866
Afghanistan,1961-01-01,57.878355794735,,652230.0,327.0,,,,,,,,,13.4770556398816,,,,,,,,,,,,,,,,,548888895.555556,,,,,,,,,,,50.443,31.349,33.068,8790140.0,8026804.0,,,,62.44370346269298
Afghanistan,1962-01-01,57.9550158686353,,652230.0,327.0,,,,,,,,,13.7513561167073,,,,,,,,,,,,,,,,,546666677.777778,,,,,,,,,,,50.57,30.845,33.547,8969047.0,8163985.0,,,,60.950363821014435
Afghanistan,1963-01-01,58.0316759425356,,652230.0,327.0,,,,,,,,,14.0402388727903,,,,,,,,,,,,,,,,,751111191.111111,,,,,,,,,,,50.703,30.359,34.016,9157465.0,8308019.0,,,,82.02173757815193
Afghanistan,1964-01-01,58.1160020238259,,652230.0,327.0,,,,,,,,,14.3438878923079,,,,,,,,,,,,,,,,,800000044.444444,,,,,,,,,,,50.831,29.867,34.494,9355514.0,8458694.0,,,,85.511073410231
Afghanistan,1965-01-01,58.123668031216,,652230.0,327.0,,,,,,,,,14.6652975177468,,,,,,,,,,,,,,,,,1006666637.77778,,,,,,,,,,,50.872,29.389,34.953,9565147.0,8617815.0,,,,105.2431957164673
Afghanistan,1966-01-01,58.1926620977263,,652230.0,327.0,,,,,,,,,14.9995354399522,,,,,,,,,,,,,,,,,1399999966.66667,,,,,,,,,,,50.986,28.872,35.453,9783147.0,8782038.0,,,,143.10323320979128
Afghanistan,1967-01-01,58.2294589331984,,652230.0,327.0,,,,,,,,,15.3473927908866,,,,,,,,,,,,,,,,,1673333417.77778,,,,,,,,,,,51.081,28.396,35.924,10010030.0,8951970.0,,,,167.16567460614803
Afghanistan,1968-01-01,58.2309921346764,,652230.0,327.0,,,,,,,,,15.7119114422826,,,,,,,,,,,,,,,,,1373333366.66667,,,,,,,,,,,51.148,27.895,36.418,10247780.0,9128927.0,,,,134.0127682938812
Afghanistan,1969-01-01,58.2555233583245,,652230.0,327.0,,,,,,,,,16.0901660457201,,,,,,,,,,,,,,,,,1408888922.22222,,,,,,,,,,,51.195,27.398,36.91,10494489.0,9311235.0,,,,134.25035961467205
Afghanistan,1970-01-01,58.2708553731046,,652230.0,327.0,,,,,,,,,16.4864710301581,,,,,,,,,,,,,,,,1.62960609911055,1748886595.55556,,,,,,,,,,,51.122,26.875,37.418,10752971.0,9501003.0,,,,162.64217540952728
Afghanistan,1971-01-01,58.3168514174448,,652230.0,327.0,,,,,,,,,16.8895282339052,,,,,,,,,,,,,,,,,1831108971.11111,,,,,,,1.16035997867584,,,,51.163,26.364,37.923,11015857.0,9691641.0,,,,166.22483126924303
Afghanistan,1972-01-01,58.3352498351808,,652230.0,327.0,,,,,,,,,17.3048663814912,,,,,,,,,,,,,,,,,1595555475.55556,,,,,,,1.11717998981476,,,,51.109,25.845,38.444,11286753.0,9886067.0,,,,141.36532229912004
Afghanistan,1973-01-01,58.3370896769544,,652230.0,327.0,,,,,,,,,17.7472747343728,,,,,,,,,,,,,,,,1.86891025641026,1733333264.44444,,,,,,,1.42788004875183,,,,51.114,25.297,39.003,11575305.0,10092624.0,,,,149.74406846683002
Afghanistan,1974-01-01,58.3387761985803,,652230.0,327.0,,,,,,,,,18.1989160265551,,,,,,,,,,,,,,,,1.61082474226804,2155555497.77778,,,,,,,,,,,51.135,24.773,39.55,11869879.0,10300800.0,,,,181.59877600923983
Afghanistan,1975-01-01,58.3387761985803,,652230.0,327.0,,,,,,,,,18.6397221838922,,,,,,,,,,,,,,,,1.72206572769953,2366666615.55556,,,,,,,1.30332005023956,,,,51.018,24.241,40.1,12157386.0,10498997.0,,,,194.6690362184404
Afghanistan,1976-01-01,58.3383162381369,,652230.0,327.0,,,,,,,,,19.050437729022,,,,,,,,,,,,,,,,2.04608695652174,2555555566.66667,,,,,,,,,,,50.935,23.718,40.645,12425267.0,10676535.0,,,,205.67409671491723
Afghanistan,1977-01-01,58.3383162381369,,652230.0,327.0,,,,,,,,,19.4521886451099,,,,,,,,,,,,,,,,2.0114747930775,2953333417.77778,,,,,,,,,,,50.921,23.179,41.228,12687301.0,10845486.0,,,,232.77869877744527
Afghanistan,1978-01-01,58.3383162381369,,652230.0,327.0,,,,,,,,,19.8378823421186,,,,,,,,,,,,,,,,,3300000108.88889,,,,,,,,,,,50.816,23.875,40.271,12938862.0,11001526.0,,,,255.0456221643673
Afghanistan,1979-01-01,58.3367830366588,,652230.0,327.0,5.94114495271469,,,,,,,,19.9107201447342,,,,,,,,,,,,,,,,,3697940409.61098,,,,,,,1.7398099899292,,,,50.737,24.797,39.086,12986369.0,10981014.0,,,,284.7555317125965
Afghanistan,1980-01-01,58.3367830366588,,652230.0,327.0,4.92623914937334,,,,,,,,19.1445211045183,,,,,,,,,,,,,,,,,3641723321.99546,,,,,,,1.84092998504639,,,,50.482,24.209,39.618,12486631.0,10489394.0,,,,291.64979104415437
Afghanistan,1981-01-01,58.3429158425709,,652230.0,327.0,5.60540064803658,,,,,,,,17.1031614614476,,,,,,,,,,,,,,,,,3478787909.09091,,,,,,,1.90917003154755,,,,50.264,23.611,40.164,11155195.0,9307672.0,,,,311.85361700005336
Afghanistan,2002-01-01,57.9396838538552,1.85278199408184,652230.0,327.0,,-1.25113701820374,0.352838128805161,14.1336164474487,37.83,,1403.03,15255.39353,32.1976235377091,,,,,,,,-1.58768701553345,0.259350627660751,,,,,0.004561395,,,3825701405.51958,-2.03503370285034,0.436297506093979,-1.67347323894501,0.296793252229691,-1.81154572963715,0.301608979701996,,0.08418062,,,48.201,11.28,56.454,21000256.0,16325389.0,-1.43342101573944,0.189453408122063,,182.17403661743836
Afghanistan,2003-01-01,58.0838047927878,1.85278199408184,652230.0,327.0,,-1.34417974948883,0.270214706659317,18.9711647033691,36.66,,1653.207,15961.0327,34.7195467856431,,,,,,,,-1.17576801776886,0.298997640609741,,,,,0.087891253,,,4520946849.32079,-2.19837236404419,0.349641561508179,-1.5582937002182,0.300880134105682,-1.46310782432556,0.235744684934616,,0.65096337,,,47.35,10.698,57.344,22645130.0,17583264.0,-1.1775711774826,0.207045421004295,,199.64322789583412
Afghanistan,2004-01-01,58.1512656578201,1.85278199408184,652230.0,327.0,,-1.35064733028412,0.213201358914375,23.8141822814941,44.24,,1292.307,15572.01238,36.112339205495,,,,,,,,-0.945146262645721,0.235708385705948,,,,,0.10580903,,2.43125378739118,5224896718.67782,-2.29568219184875,0.304597765207291,-1.6939252614975,0.21454069018364,-1.51154899597168,0.224410235881805,,0.54292566,,,46.33,10.277,57.944,23553551.0,18254002.0,-1.20303392410278,0.17559015750885,,221.8305307203071
Afghanistan,2005-01-01,58.134400441562,1.85278199408184,652230.0,327.0,,-1.44725239276886,0.207366138696671,28.6696720123291,33.88,,1961.711,16635.76076,37.4272741210923,12.6862687216715,,,,,,,-1.2288156747818,0.220314458012581,,,,,1.224148084,,1.99206569856085,6203256497.09044,-2.06750988960266,0.303332567214966,-1.66296553611755,0.205631986260414,-1.64344024658203,0.183133482933044,,0.5291841,,,45.263,9.941,58.361,24411191.0,18869118.0,-1.12542963027954,0.173295274376869,,254.11527430556092
Afghanistan,2006-01-01,58.123668031216,1.85278199408184,652230.0,327.0,,-1.44629228115082,0.207394152879715,33.5444183349609,31.89,,2283.68,17264.16633,39.0091593456296,6.78459655001657,10.0468971069497,,,,6.96759757507017,20.5781737687622,-1.47365152835846,0.263611018657684,,,,,2.107123645,,1.89623399634252,6971758332.88917,-2.21913456916809,0.28942021727562,-1.87900483608246,0.201253980398178,-1.68946862220764,0.218019515275955,4.68476057052612,0.49784002,,,44.721,9.679,58.684,25442944.0,19614729.0,-1.11029398441315,0.150166392326355,,274.01539432265264
Afghanistan,2007-01-01,58.129800837128,1.85278199408184,652230.0,327.0,,-1.61325109004974,0.232796639204025,38.4400024414063,28.78,,2847.81,18218.84691,39.7149793784401,8.68057078513405,-3.58511110954101,,,,5.28345660398282,24.2432588226125,-1.44011056423187,0.314759343862534,,,,,1.9,1.21,2.56626735198569,9747886104.53251,-2.4133734703064,0.308105289936066,-1.85256004333496,0.255243450403214,-1.70887231826782,0.23948073387146,4.17489528656006,0.55994755,,,43.858,9.359,59.111,25903301.0,19916271.0,-1.05765390396118,0.145505249500275,,376.3182964415428
Afghanistan,2008-01-01,58.132867240084,1.85278199408184,652230.0,327.0,20.2117258968465,-1.67209553718567,0.22434464097023,42.4,21.17,,4375.64,21349.18799,40.5182205663646,26.4186641547445,12.5579601455576,,,,6.08796493020769,50.7192978736512,-1.52779507637024,0.275009870529175,,,13.8,,1.84,,2.335545701939,10109296957.6569,-2.69136095046997,0.309818059206009,-1.90330755710602,0.227184697985649,-1.60716688632965,0.203280687332153,4.38367223739624,0.62779975,,,41.506,8.832,59.852,26427199.0,20264376.0,-1.16890180110931,0.143898978829384,,382.5338038154138
