country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides
Africa Eastern and Southern,01-01-2000,44.448963124,34.717473174,14571611,,10.496258443,,,19.957301617,65.449523887,773.979506644,357967.510652,936733.642312,27.560479620,8.601485149,,,,,,,,,,,,,0.774217555,,2.003525735,285403765401.254,,,,,,,3.606129885,2.076843781,,,40.528236620,13.775698093,51.964481325,401600588,286048935,,,
Africa Western and Central,01-01-2000,36.921371767,21.595283547,9045780,,11.002909813,,,34.137970750,83.273304806,115.970529637,140653.453,593150.734615,29.805268092,2.530775167,,,,,,,,,,,,,0.139444899,,0.832081537,140132777859.081,,,,,,,2.565020084,0.712628873,,,43.199552915,15.562004323,50.221953875,269611898,174339008,,,
Albania,01-01-2000,41.751824818,28.076642336,27400,1485,25.531876321,-0.855563641,0.234359592,99.430854797,41.36,1449.647413247,3186.54,8163.977582,112.738211679,0.050018136,15.575411606,11.2983565,,,,,-0.917780161,0.277303487,,,,,0.114097347,,1.246360242,3480355258.04122,-0.539989591,0.396205485,-1.020667672,0.217719540,-0.415910125,0.306227416,3.430170059,2.76583457,,,17.076,5.798,75.404,3089027,1799636,-0.285138667,0.196420565,4.116881082
Algeria,01-01-2000,16.803261481,0.662960693,2381740,89,,-0.987298191,0.250185400,98.640029907,0.43,689.236757782,80046.8,161798.7973,12.921066531,0.339163189,-10.334377998,0.19875,,,,,-1.010749340,0.238578707,,,,,0.491705679,,3.433385635,54790398570.3282,-1.432577372,0.342506409,-1.245844364,0.183204845,-0.710209370,0.307668597,,2.51082778,,,19.543,5.037,70.478,30774621,12334776,-1.110052228,0.197282910,
Andorra,01-01-2000,48.936170213,34.042553191,470,,,1.313403845,0.461006761,100,14.51,,523.952,588.117968,140.631914894,,,,,,,,1.380486727,0.331546426,,,,,10.53883561,,,1429047881.84275,1.166981459,0.595203698,1.286165476,0.309702605,1.223143578,0.416249961,,3.90049219,,,11.3,,,66097,5027,1.535655499,0.291283160,
Angola,01-01-2000,35.712681479,62.331443010,1246700,1010,32.495965702,-1.197514296,0.250185400,24.238864899,73.44,75.271156105,16204.16,57982.70087,13.149965509,324.996871601,-60.781327039,,,,28.703382159,21.830019410,-1.075034142,0.238578707,,,,,0.105045562,,6.392603154,9129594815.57661,-2.038173914,0.342506409,-1.601501703,0.191532835,-1.507048011,0.334468544,2.607530117,1.11098742,,52,47.647,18.287,46.024,16394062,8182768,-1.458064675,0.197282910,
Antigua and Barbuda,01-01-2000,20.454545455,21.477272727,440,1030,69.046371728,0.861537576,0.461006761,97.673126221,0,,312.5,584.648482,170.579545455,0.771779797,10.455843157,5.171553944,,,,,0.618822575,0.331546426,,,,,6.482225737,,,826370370.37037,0.713235021,0.595203698,1.034903526,0.309702605,0.751229942,0.416249961,,2.72769094,,,19.829,6.587,74.606,75055,50942,0.390961945,0.291283160,6.661781360
Arab World,01-01-2000,39.656940780,3.551071890,13611431,,13.685664194,,,81.108851489,6.672581764,1491.965862999,933988.54,1595174.281021,21.090066283,1.853790353,,,,,,,,,,,,,1.217056416,,6.282713434,820573600760.516,,,,,,,,2.128632402,,,28.965076048,6.325063724,67.297331255,287065982,134760263,,,
Argentina,01-01-2000,46.958186715,12.196485535,2736690,591,4.953989559,-0.172407657,0.199174166,95.680473328,9.85,2077.539573358,132265.5,294271.3913,13.545843336,,,,0.438840002,,9.622603502,16.832888377,-0.028038694,0.203009099,,,,,7.038683086,,1.148822677,284203750000,0.095823877,0.313380271,-0.214404494,0.160872713,0.182292387,0.234316275,4.580309868,4.49895144,,51.1,19.366,7.6,73.926,37070774,4025145,0.418346971,0.192720860,
Armenia,01-01-2000,46.469968388,11.683877766,28470,562,18.083025601,-0.848086238,0.234359592,98.9,7.16,1257.052576232,3561,5990.512959,111.293396558,-0.790883769,33.398463060,,0.191060007,,,,-0.546417594,0.277303487,,,,,1.300470022,,3.560024873,1911563668.85006,-0.682867944,0.396205485,-0.501016259,0.218815446,-0.172101572,0.306227416,2.772730112,0.95468217,,,12.51,8.27,70.624,3168523,1119566,-0.374595284,0.196420565,2.872000160
