GDP_per_capita,country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides
5343.037703996,Albania,01-01-2020,42.538503650,28.791970803,27400,1485,25.688797447,-0.572924495,0.149973631,100,44.58,,4383.2,8304.29494,103.571131387,1.620886617,5.386769753,5.151666667,,83.887494536,16.983262296,24.732563752,-0.154880330,0.256462783,0.634250939,,,82.984166667,72.23767711,,1.298479116,15162734205.2462,0.088576451,0.232469827,-0.376249194,0.142738119,0.221967235,0.221013695,3.342299938,2.93465567,43.4,29.4,10.285,10.785,76.989,2837849,1075204,0.086402573,0.125125065,2.127772012
4505.867741757,Armenia,01-01-2020,58.868984896,11.537407798,28470,562,16.458521269,-0.003438700,0.157668769,100,8.38,,6746.6,10422.04117,98.546118721,1.211435778,9.639110340,5.797729686,0.209199995,63.401214007,21.860419276,26.581287778,-0.304616541,0.249917418,0.578998804,,7.2,82.938333333,76.50770055,,4.982543724,12641698583.2152,-0.771642268,0.237614140,-0.125852257,0.149982378,0.238748029,0.233334079,2.705559969,2.35682821,19.1,25.1,12.455,12.792,72.173,2805608,1029293,0.047159709,0.130757630,1.853430370
48789.497849887,Austria,01-01-2020,31.539813379,47.250969462,82520,1110,27.738147236,1.477789164,0.149796650,100,35.77,,59142.4,71017.8287,108.057004363,1.381910634,,,3.201489925,99.909697973,24.415139802,50.574651172,1.606263638,0.231866837,0.746739745,,,89.779166667,87.52942813,,0.884127145,435049316955.737,0.887528837,0.226481333,1.770163417,0.150381744,1.395227313,0.233886927,5.569009781,8.763134,17.5,29.8,9.4,10.3,81.192682927,8916864,3678385,1.394437790,0.111107700,0.729699453
45609.003493611,Belgium,01-01-2020,45.066357332,22.764200793,30280,847,45.184502993,1.445956349,0.154146329,100,12.28,,85364.1,100063.4878,381.063540291,0.740791812,,,3.396970034,119.241639785,22.011938421,44.027240939,1.078783035,0.248788178,0.760419667,,95.5,81.948333333,91.52641629,,1.014513524,526264230147.394,0.521023035,0.226481333,1.328004122,0.154432774,1.343635798,0.238239184,6.812329769,8.75983047,18.9,26,9.9,11,80.695121951,11538604,221657,1.278445244,0.111107700,
10148.342395443,Bulgaria,01-01-2020,46.490420044,35.860353721,108560,608,18.702632106,-0.322116584,0.137092009,99.7,21.08,,34138.1,46492.85461,63.872651069,1.672440969,0.073400700,,0.849240005,32.259646198,20.278213340,36.685272954,-0.213883147,0.220126405,0.613898158,,,83.052916667,70.16248359,,1.592655416,70368758395.141,0.401580870,0.226481333,-0.127281368,0.136636123,0.460990727,0.208771586,4.502870083,5.09874439,32.1,40.5,8.5,18,73.658536585,6934015,1685936,0.259695321,0.103270337,0.988655607
5304.289128866,Colombia,01-01-2020,39.704621902,53.305011266,1109500,3240,5.946413741,-0.251915634,0.143402383,99.721755981,31.31,,79057.6,186999.3355,45.904156827,2.526635001,8.248218417,,0.289609998,91.223210502,14.055500706,36.581101945,0.008680122,0.231793165,0.604330301,,,74.068333333,69.79533474,,3.533526447,270150956772.57,-0.701150596,0.226481333,-0.492650598,0.146567494,0.225666419,0.202663422,5.265500069,6.53422785,18.1,53.5,14.435,6.606,74.769,50930662,9460370,0.143143579,0.127261952,24.242763384
14269.908854933,Croatia,01-01-2020,26.894210150,34.651715511,55960,1113,24.941681928,0.177089244,0.137092009,100,32.37,,15626.9,21379.32606,72.331665475,0.154811375,,,1.242609978,98.779120047,20.062515794,45.132705113,0.425023794,0.220126405,0.709693968,,,73.673333333,78.32090004,,1.714581742,57760024673.9359,0.607223809,0.226481333,0.236004218,0.136636123,0.362314552,0.208771586,4.434420109,6.35798836,23.2,29.5,8.9,14.1,77.724390244,4047680,1718119,0.579718292,0.103270337,0.976355239
20385.007627432,Cyprus,01-01-2020,13.814859307,18.672077922,9240,498,116.928562478,0.349622399,0.167104587,100,15.02,,6771.8,8109.206812,133.932575758,-0.638422798,,,0.843869984,,22.228896968,42.112771175,0.839920282,0.231866837,0.755520225,,,81.955,90.80194644,,1.936981023,25227201184.2295,0.288732588,0.231230170,0.547705591,0.159256980,0.993247628,0.260185421,5.686289787,6.33430815,21.3,31.7,10.583,6.93,81.391,1237537,410602,0.903132319,0.114875972,1.212084972
60836.592412164,Denmark,01-01-2020,65.499675,15.711,40000,703,41.767422342,2.236468792,0.149796650,100,39.7,,27356.5,41135.55451,145.7851,0.420711974,,,2.968729973,,34.452234114,39.746532455,1.840414047,0.231866837,0.755094826,,119.9,87.119166667,96.54914573,,1.375348945,354762748338.661,0.920160234,0.226481333,1.808279395,0.150381744,1.785724521,0.233886927,7.389110088,8.93393898,15.9,27.5,10.4,9.4,81.602439024,5831404,693004,1.514662504,0.111107700,0.944102117
23595.243683644,Estonia,01-01-2020,23.040935673,57.038596491,42750,626,41.443329934,1.580865502,0.137092009,100,40,,7097.52,10198.8019,31.099929825,-0.444531098,,,1.750920057,23.755704628,20.691074911,41.092326221,1.299159646,0.220126405,0.777203202,,,84.54625,89.05828666,,2.293829971,31370395572.7658,0.709752977,0.226481333,1.336464643,0.136636123,1.529534817,0.208771586,5.519929886,5.97475481,23.3,30.7,9.9,11.9,78.595121951,1329522,409107,1.167532682,0.103892066,3.159215431
49169.719338850,Finland,01-01-2020,7.468579325,73.728367441,303940,536,23.116533657,2.170630693,0.149796650,100,47.49,,36329.9,47740.49323,18.192876884,0.290554556,,,2.912430048,,19.866996026,41.250136533,1.901411176,0.231866837,0.796001017,,34.3,90.120833333,92.17027106,,1.425822768,271886077382.102,0.981748819,0.226481333,2.020997286,0.150381744,1.850898266,0.233886927,6.634940147,7.81982374,16,27.1,8.4,10,81.931707317,5529543,800844,1.609450936,0.111107700,1.645727943
39179.744259606,France,01-01-2020,52.147546283,31.509048373,547557,867,17.869004557,1.122349262,0.149796650,100,16.87,,267154.7,376006.2454,123.404699419,0.476498853,,,2.281889915,122.890485592,24.638455246,51.867693603,1.204635501,0.231866837,0.762737215,,,87.216666667,84.70640914,,2.002840116,2647418691598.45,0.280948132,0.226481333,1.297226310,0.150381744,1.189461946,0.233886927,5.677840233,9.36361694,18.2,30.7,10.9,9.9,82.175609756,67571107,12855403,1.065646052,0.110348202,1.073200110
17617.291505701,Greece,01-01-2020,45.517362296,30.269976726,128900,652,23.118025631,0.032075394,0.149796650,100,20.08,,51002.2,69283.30669,82.999216447,-1.247983556,,,1.507930040,253.119931146,24.802482328,58.550777892,0.403194964,0.231866837,0.690006495,,,85.44875,78.11584474,,3.062103252,188480337285.605,0.115144268,0.226481333,0.289413631,0.150381744,0.536497653,0.233886927,4.497175217,5.13178682,28.9,33.6,7.9,12.2,81.287804878,10698599,2170211,0.963265836,0.111107700,0.741992757
16125.609408541,Hungary,01-01-2020,53.875439404,22.496274381,91260,589,25.953719744,0.069760337,0.137092009,100,14.76,,44769.3,59596.52966,106.839239535,3.326743858,-4.176606879,1.497781800,1.593150020,96.004685225,22.865013399,44.159874327,0.538772941,0.220126405,0.683087289,,,85.76375,84.77115202,,1.760573810,157227094449.074,0.836977124,0.226481333,0.490737408,0.136636123,0.469366848,0.208771586,4.155210018,5.15515757,17.8,29.7,9.6,14.5,75.568292683,9750149,2735697,0.389346242,0.103270337,0.820464645
85973.08848755,Ireland,01-01-2020,65.495717811,11.351720134,68890,1118,155.835855681,1.535135031,0.167104587,100,13.69,,33742.2,59497.73471,72.367281173,-0.334584625,,,1.232519984,71.278148141,16.200074090,25.629111050,1.435749292,0.231866837,0.792599022,,15.4,88.704583333,91.99989097,,0.269287013,428608687830.239,0.965446055,0.231230170,1.456939459,0.159256980,1.467447162,0.260185421,3.271859884,5.597785,20.8,29.2,11.2,6.5,82.556097561,4985382,1812037,1.389508367,0.114875972,0.667189770
