country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides
High income,01-01-1990,37.938557630,28.941966736,34969850.997,,7.848096837,,,99.817942621,6.403384129,7202.123582299,11431204.714856,14254589.711564,29.382473408,5.400957766,,,,36.367566193,14.537167084,25.011311049,,,,,,,0.252231106,,3.418387586,19038584120519.8,,,,,,,,,,,14.236335751,8.761356308,75.261105511,1027500717,269773825,,,
High income,01-01-1991,37.827500418,28.961097621,34970421.077,,7.954552217,,,99.859429022,6.617307730,7366.727536940,11426219.563151,14232631.132392,29.621467374,5.035274388,,,,39.989144169,14.547870816,28.690900321,,,,,,,0.409394253,,3.096329907,20141226030673.2,,,,,,,,,,,13.942528295,8.744882544,75.446482517,1035875187,269017609,,,
High income,01-01-1992,37.864889820,29.075265561,35213788.157,,8.204959550,,,99.847087703,6.738436817,7368.289507795,11461159.154491,14267568.022751,29.661026452,4.020847800,,,,42.068263863,14.162304224,28.488444695,,,,,,,0.652262052,,3.004221578,21667616559850.2,,,,,,,,,,,13.700377975,8.663322236,75.707179344,1044477102,268446187,,,
High income,01-01-1993,37.841663231,29.119629276,35339138.237,,8.226600130,,,99.839314610,6.685109016,7470.662972473,11543226.82242,14341450.749831,29.786433923,4.093836226,,,,42.825874209,14.119172316,28.586523984,,,,,,,0.930914988,,2.836146897,21845057481105.6,,,,,,,4.944590092,,,,13.367810677,8.803716932,75.777536226,1052626906,267948908,,,
High income,01-01-1994,38.219265282,29.138786966,35339178.317,,8.227602977,,,99.843068447,6.528653395,7637.665540921,11729499.56509,14566944.252841,29.999233103,2.747290516,,,,45.084509633,14.703810732,26.682072001,,,,,,,1.878425460,,2.633868258,23425501389994.8,,,,,,,4.671299934,,,,13.127059429,8.711247989,76.057090468,1060148248,267237366,,,
High income,01-01-1995,38.167810279,29.158002433,35339208.397,,8.554718075,,,99.848940331,6.849007907,7816.673243230,11897952.965614,14766943.9497,30.201623478,3.361391073,,,,52.994293075,15.306056826,27.986133974,,,,,,,3.531125023,,2.420882921,26014334904341.4,,,,,,,4.767119884,,,,12.791206151,8.772564662,76.117488833,1067301466,266410321,,,
High income,01-01-1996,38.289571106,29.177202475,35339197.181,,7.777396900,,,99.845931473,6.825051777,7989.995408940,12265568.566367,15172194.069012,30.406754333,2.851782364,,,2.147651742,54.089162441,15.577726553,26.970746544,,,,,,,6.493347605,,2.357873834,26238484750119.7,,,,,,,4.753920078,,,,12.681706684,8.720556128,76.476729118,1074550287,265673790,,,
High income,01-01-1997,38.261604551,29.139720619,35407855.964,,8.079229536,,,99.859623150,6.855513211,8094.409512425,12504640.374491,15413268.80387,30.548817220,2.337689937,,,2.175516482,54.052993597,15.817554124,25.921746831,,,,,,,10.251644986,,2.372393042,25790805396452.5,,,,,,,,,,,12.529251598,8.640211254,76.800904627,1081668120,265006077,,,
High income,01-01-1998,38.516674801,29.158908125,35407814.746,,8.488097611,,,99.875963495,6.922128578,8242.624163925,12493836.314713,15380269.765396,30.744659811,1.955085577,,,2.176156774,55.823124539,16.232420424,25.928190454,,,,,,,15.434877179,,2.333853818,25887178510680.1,,,,,,,4.501219988,,,,12.372754563,8.624795308,76.996236636,1088601219,264285855,,,
High income,01-01-1999,38.385690263,29.178087421,35407783.527,,8.850219227,,,99.870498302,7.363283396,8387.872606158,12571708.396397,15426089.350871,30.937749299,1.943859844,,,2.245023397,54.821814782,16.410458374,25.278638637,,,,,,,22.288228943,,2.250926950,27193488574949.8,,,,,,,4.567230225,,,,12.246566059,8.653589879,77.139607636,1095437130,263527089,,,
High income,01-01-2000,38.395004683,29.188276917,35444478.768,,9.239285499,,,99.763391740,7.313746295,8663.221761008,12857970.821998,15731562.300195,31.094818638,2.634744620,,,2.306338333,52.675445226,16.987590248,25.050696721,,,,,,,29.897135252,,2.255852207,27763709846117,,,,,,,4.884079933,5.598702711,,,12.358315772,8.490477413,77.450208896,1102139639,262748871,,,
High income,01-01-2001,38.352772663,29.211633655,35444233.547,,9.321095773,,,99.765438896,6.941296304,8584.522926780,12923293.83305,15772641.497914,31.284922117,2.602128552,,,2.338736097,62.278174695,16.341225616,25.791491046,,,,,,,35.860749402,,2.285119068,27490207880780.3,,,,,,,4.953030109,5.879586150,,,11.995573774,8.429466593,77.751968632,1108870086,260612958,,,
High income,01-01-2002,38.020109972,29.234210491,35444928.326,,9.685761068,,,99.775682967,7.048754576,8736.018034996,12842274.548273,15671412.876769,31.476487856,2.057588581,,,2.279554134,64.405381893,15.199683257,26.194900266,,,,,,,44.154117280,,2.398616074,28660779913534.8,,,,,,,5.085945129,6.114003927,,,11.824070664,8.468838186,77.912107841,1115681856,257840370,,,
