%_rural_population,country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides
21.120000027,Argentina,01-01-1970,46.546375366,,2736690,591,,,,,,,,,8.712277605,,,,,,,,,,,,,,,,1.877777778,,,,,,,,1.458089948,,,,23.472,9.151,65.589,23842803,5035600,,,
16.000999440,Australia,01-01-1970,64.229787759,,7682300,534,,,,,,3609.978412089,,,1.628028065,3.439153439,1.687062638,,,,,,,,,,,,,,2.966035577,41333606613.3771,,,,,,,,,,,20.6,9,71.018536585,12507000,2001245,,,
92.407000636,Bangladesh,01-01-1970,74.494891296,,130170,2666,,,,,,,,,518.874241377,,,,,,,,,,,,,,,,,8992722166.66667,,,,,,,,,,,47.443,22.303,42.587,67541860,62413407,,,
6.156998427,Belgium,01-01-1970,,,,847,,,,,,3031.521045567,,,,3.908472385,,,,,,,,,,,,,,,2.918640097,26706196046.7931,,,,,,,,,,,14.7,12.3,70.971951220,9655549,594492,,,
93.910884795,Bhutan,01-01-1970,8.175844873,,46723,2200,,,,,,,,,6.397149156,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.373,23.621,39.953,298894,280694,,,
97.155010787,Burundi,01-01-1970,73.208722741,,25680,1274,,,,,,,,,136.208489097,-0.199650611,,,,,,,,,,,,,0,,,242732571.428571,,,,,,,,,,,47.339,21.636,43.041,3497834,3398321,,,
20.262999373,Denmark,01-01-1970,74.375,,40000,703,,,,,,2893.224397145,,,123.218925,6.514841417,,,,,,,,,,,,,,,2.429119966,17075457600,,,,,,,5.955530167,,,,14.4,9.8,73.343414634,4928757,998714,,,
91.412000588,Ethiopia,01-01-1970,53.723887375,,1101000,,,,,,,,,,25.711395095,10.121951220,,,,,,,,,,,,,,,1.883109803,,,,,,,,,,,,49.418,21.818,42.815,28308246,25877134,,,
15.805010087,Israel,01-01-1970,24.260628466,,21640,435,,,,,,,,,137.430683919,6.110742036,,,,,,,,,,,,,,,23.447056321,,,,,,,,,,,,26.1,7.1,71.213414634,2974000,470041,,,
10.301007765,Malta,01-01-1970,43.75,,320,560,,,,,,,,,945.78125,3.715658848,,,,,,,,,,,,,,,,250721821.553678,,,,,,,,,,,17.6,10.1,69.065560976,302650,31176,,,
96.043998677,Nepal,01-01-1970,25.888111888,,143000,1500,,,,,,,,,87.421573427,15.237278445,,,,,,,,,,,,,,,0.593019315,865975307.776,,,,,,,,,,,42.98,21.186,42.827,12501285,12006734,,,
18.894012168,NZ'land,01-01-1970,49.705670123,,263310,1732,,,,,,4271.533781620,,,10.674490145,6.517181052,,,,,,,,,,,,,,,2.632030178,,,,,,,,,,,,22.1,8.81,71.273170732,2810700,531054,,,
91.206002602,Niger,01-01-1970,24.630930765,,1266700,151,,,,,,,,,3.686514565,1.117838845,,,,,,,,,,,,,,,,649916621.242978,,,,,,,,,,,55.718,27.929,36.062,4669708,4259054,,,
96.805999024,Rwanda,01-01-1970,56.911228212,,24670,1212,,,,,,,,,157.939481151,0.514885808,,,,,,,,,,,,,,,,219900006,,,,,,,,,,,48.797,18.352,47.153,3896367,3771917,,,
91.367007638,South Sudan,01-01-1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.467,39.927,26.399,3342410,3053860,,,
18.966004505,Sweden,01-01-1970,9.213440281,,407339.7,624,7.809794051,,,,,7315.983573384,,,19.744702026,7.016358851,,,,,,,,,,,,,,,3.358668261,38092452060.6201,,,,,,,,,,,13.7,9.9,74.649268293,8042801,1525398,,,
92.148003200,Tanzania,01-01-1970,31.609844209,,885800,1071,,,,,,,,,15.373890269,3.492884864,,,,,,,,,,,,,,,2.299978199,,,,,,,,,,,,49.653,18.544,46.45,13618192,12548892,,,
93.336000074,Uganda,01-01-1970,49.947450078,,199810,1180,,,,,,,,,51.635113358,,,,,,,,,,,,,,,,1.973029046,1259554808.90382,,,,,,,,,,,48.965,16.361,49.616,10317212,9629673,,,
20.200010735,UAE,01-01-1970,2.985074627,,71020,78,,,,,,,,,4.197183892,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.432,7.668,60.021,298084,60213,,,
17.632017031,Uruguay,01-01-1970,88.452748257,,175020,1300,,,,,,,,,15.942549423,16.306144944,,,,,,,,,,,,,,,,2137096774.19355,,,,,,,,,,,19.461,9.585,68.904,2790265,491980,,,
