%_rural_population,country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides
94.864999264,Bangladesh,01-01-1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4274894083.33333,,,,,,,,,,,49.451,21.222,44.74,50396429,47808572,,,
94.721999128,Bangladesh,01-01-1961,72.827840516,,130170,2666,,,,,,,,,398.577006991,,,,,,,,,,,,,,,,,4817580375,,,,,,,,,,,49.606,20.509,45.662,51882769,49144396,,,
94.502000228,Bangladesh,01-01-1962,72.804793731,,130170,2666,,,,,,,,,410.706468464,,,,,,,,,,,,,,,,,5081413541.66667,,,,,,,,,,,49.566,19.732,46.701,53461661,50522339,,,
94.272999938,Bangladesh,01-01-1963,72.827840516,,130170,2666,,,,,,,,,423.247407237,,,,,,,,,,,,,,,,,5319458562.5,,,,,,,,,,,49.08,19.673,46.655,55094115,51938875,,,
94.036000163,Bangladesh,01-01-1964,73.135130983,,130170,2666,,,,,,,,,436.156295613,,,,,,,,,,,,,,,,,5386054833.33333,,,,,,,,,,,48.618,18.815,47.741,56774465,53388436,,,
93.788999787,Bangladesh,01-01-1965,74.033955597,,130170,2666,,,,,,,,,449.413528463,,,,,,,,,,,,,,,,,5906636791.66667,,,,,,,,,,,48.152,19.318,46.858,58500159,54866714,,,
93.533000497,Bangladesh,01-01-1966,74.133824998,,130170,2666,,,,,,,,,462.973488515,,,,,,,,,,,,,,,,,6439687854.16667,,,,,,,,,,,47.789,18.052,48.577,60265259,56367905,,,
93.267000285,Bangladesh,01-01-1967,74.479526773,,130170,2666,,,,,,,,,477.102926942,,,,,,,,,,,,,,,,,7253575687.5,,,,,,,,,,,47.759,17.826,48.865,62104488,57922993,,,
92.991000389,Bangladesh,01-01-1968,74.279787970,,130170,2666,,,,,,,,,491.631343628,,,,,,,,,,,,,,,,,7483685770.83333,,,,,,,,,,,47.578,17.649,49.09,63995652,59510197,,,
92.703999404,Bangladesh,01-01-1969,74.325881540,,130170,2666,,,,,,,,,506.006821848,,,,,,,,,,,,,,,,,8471006437.5,,,,,,,,,,,47.525,17.58,49.172,65866908,61061258,,,
92.407000636,Bangladesh,01-01-1970,74.494891296,,130170,2666,,,,,,,,,518.874241377,,,,,,,,,,,,,,,,,8992722166.66667,,,,,,,,,,,47.443,22.303,42.587,67541860,62413407,,,
92.098999822,Bangladesh,01-01-1971,74.479526773,,130170,2666,,,,,,10.383729404,,,525.283890297,,,,,,,,,,,,,,,,,8751843187.5,,,,,,,,,,,47.608,41.023,25.996,68376204,62973800,,,
91.778999449,Bangladesh,01-01-1972,76.753476223,,130170,2666,,,,,,10.238410030,,,532.739532918,,,,,,,,,,,,,,,,,6288245866.66667,,,,,,,,,,,47.459,17.093,49.591,69346705,63645712,,,
91.447000399,Bangladesh,01-01-1973,76.738111700,,130170,2666,,,,,,14.646182664,,,546.553107475,,,,,,,,,,,,,,,,0.656720537,8086725729.3407,,,,,,,,,,,46.955,16.986,49.828,71144818,65059802,,,
90.965999842,Bangladesh,01-01-1974,76.738111700,,130170,2666,,,,,,16.148532059,,,560.404140739,,,,,,,,,,,,,,,,0.604303492,12512460519.7088,,,,,,,,,,,46.676,17.429,49.16,72947807,66357702,,,
90.163999912,Bangladesh,01-01-1975,76.853345625,,130170,2666,,,,,,16.211437845,,,573.867596220,,,,,,,,,,,,,,,,0.844783331,19448348073.4565,,,,,,,,,,,46.175,16.628,50.292,74700345,67352819,,,
89.299000472,Bangladesh,01-01-1976,76.807252055,,130170,2666,1.970882031,,,,,16.509540184,,,586.771760006,,33.795058352,,,,,,,,,,,,,,1.523678975,10117113333.3333,,,,,,,,,,,46.15,16.431,50.647,76380080,68206648,,,
88.369999673,Bangladesh,01-01-1977,76.753476223,,130170,2666,2.580337135,,,,,17.494736350,,,600.274932780,,13.861562263,,,,,,,,,,,,,,1.569977813,9651149301.8746,,,,,,,,,,,46.051,16.144,51.197,78137788,69050363,,,
87.371000612,Bangladesh,01-01-1978,76.722747177,,130170,2666,2.666413582,,,,,20.635552520,,,614.638933702,,-12.269219667,,,,,,,,,,,,,,1.268985181,13281767142.8571,,,,,,,,,,,45.603,16.058,51.254,80007550,69903397,,,
86.298999717,Bangladesh,01-01-1979,76.692018130,,130170,2666,3.243309392,,,,,20.278812056,,,629.239847891,,-2.094867647,,,,,,,,,,,,,,0.934292961,15565480321.9448,,,,,,,1.130929947,,,,45.452,15.894,51.464,81908151,70685915,,,
85.149000477,Bangladesh,01-01-1980,76.722747177,,130170,2666,3.818792555,,,,,18.134210193,,,644.770415610,,-5.988132182,,,,,,,,,,,,,,0.857420859,18138049095.6072,,,,,,,0.937600017,,,,45.083,15.61,51.85,83929765,71465356,,,
84.198999578,Bangladesh,01-01-1981,76.676653607,,130170,2666,3.331510260,,,,,21.670286738,,,661.863993240,,1.127984800,,,,,,,,,,,,,,0.915831691,20249694002.448,,,,,,,1.071499944,,,,44.734,15.351,52.169,86154836,72541510,,,
83.788000082,Bangladesh,01-01-1982,76.653606822,,130170,2666,3.551476163,,,,,24.481867473,,,680.305262349,,1.163773880,,,,,,,,,,,,,,1.060869685,18525399201.5968,,,,,,,1.011639953,,,,44.255,15.032,52.54,88555336,74198745,,,
83.369000490,Bangladesh,01-01-1983,76.546055159,,130170,2666,3.526500119,,,,,27.865195018,,,699.435184758,,2.439473298,,,,,,,,,,,,,,1.270673712,17609048821.5488,,,,,,,1.032670021,,,25.9,42.813,14.571,53.011,91045478,75903705,,,
82.940000185,Bangladesh,01-01-1984,77.283552278,,130170,2666,3.622934149,,,,,30.651877116,,,718.554497964,,3.020813216,,,,,,,,,,,,,,1.178041960,18920840000,,,,,,,1.223029971,,,,41.81,14.077,53.54,93534239,77577298,,,
82.503999959,Bangladesh,01-01-1985,77.030037643,,130170,2666,3.213128067,,,,,31.690585173,,,737.182906968,,-6.211926915,,,,,,,,,,,,,,1.054272784,22278423076.9231,,,,,,,1.271180034,,,26.9,40.734,13.705,53.897,95959099,79170095,,,
82.058999949,Bangladesh,01-01-1986,77.137589306,,130170,2666,3.297726703,,,,,35.971682034,,,754.949266344,,4.374505694,,,,,,,,,,,,,,1.112191676,21774033333.3333,,,,,,,1.343490005,,,,39.412,13.217,54.415,98271746,80640812,,,
81.604999593,Bangladesh,01-01-1987,77.706076669,,130170,2666,3.054276058,,,,,37.506123977,,,771.992440655,9.874696091,3.353217679,,,,,,,,,,,,,,1.168232539,24298032258.0645,,,,,,,1.513640046,,,,38.321,12.77,54.926,100490256,82005073,,,
81.141000015,Bangladesh,01-01-1988,80.102942306,,130170,2666,3.351369949,,,,,40.647068216,,,788.882484443,7.412765957,6.837361623,,,,,,,,,,,,,,1.246388097,26579005558.3652,,,,,,,,,,28.8,36.98,12.542,55.027,102688833,83322746,,,
80.670000176,Bangladesh,01-01-1989,80.225858493,,130170,2666,3.685779273,,,,,48.563462464,,,805.820649919,6.045479756,6.006888297,,,,,,,,,,,,,,1.290861801,28781715188.8919,,,,,,,,,,,36.184,12.372,55.089,104893674,84617727,,,
80.189000130,Bangladesh,01-01-1990,79.787969578,14.752477529,130170,2666,3.455939143,,,,71.67,47.933855311,11523.73,91841.25556,823.136291004,6.126718470,7.803215576,,,,,,,,,,,,0,,1.223165026,31598340778.2164,,,,,,,1.519119978,,,,34.966,11.725,55.989,107147651,85920630,,,
79.742999893,Bangladesh,01-01-1991,79.280940309,14.752475993,130170,2666,3.638305510,,,14.29,73.16,48.735462136,10830.76,92040.68457,839.232035031,6.357364123,11.718987352,,,,,,,,,,,,0,,1.214422802,30957483949.5798,,,,,,,1.425660014,,,27.6,33.449,12.565,54.154,109242834,87113513,,,
79.390000200,Bangladesh,01-01-1992,73.357916571,14.752474456,130170,2666,4.011898271,,,9.905419350,71.66,58.622061440,11823.48,94104.60178,854.821402781,3.634076918,11.050357131,,,,,,,,,,,,0,,1.360503150,31708874594.1645,,,,,,,1.631770015,,,,32.354,10.574,57.635,111272102,88338922,,,
79.033999641,Bangladesh,01-01-1993,72.566643620,14.752472920,130170,2666,4.406760504,,,12.717880249,70.56,65.368376414,12568.4,95468.91619,871.312568180,3.014818600,13.740969266,,,,,,,,,,,,0,,1.429390515,33166519417.9894,,,,,,,1.692620039,,,,31.515,10.343,57.927,113418757,89639380,,,
78.671999959,Bangladesh,01-01-1994,71.890604594,14.752471384,130170,2666,4.782038648,,,17.8,68.98,69.307681136,13543.45,98031.6061,888.183844204,5.313740079,9.125764688,,,,,,,,,,,,0,,1.529023664,33768660882.793,,,,,,,,,,,31.336,9.962,58.617,115614891,90956547,,,
78.306999841,Bangladesh,01-01-1995,72.013520781,14.752469847,130170,2666,5.876182674,,,18.338045120,63.81,76.489894530,16554.48,103119.03,904.919244065,10.297811795,5.455284559,,,,,,,,,,,,0,,1.566693141,37939748768.6567,,,,,,,,,,32.9,30.453,9.496,59.467,117793338,92240429,,,
77.936000130,Bangladesh,01-01-1996,71.652454483,14.752469079,130170,2666,3.861515352,-0.969682217,0.262076586,21.144386292,62.13,80.415848035,16825.3,103595.5435,920.925466697,2.377129030,-5.164551930,,,,,,-0.687850118,0.173903719,,,,,,,1.539073594,46438484107.5795,-0.548815250,0.373912305,-0.934023738,0.212429106,-0.929817796,0.311746508,,,,,29.952,9.478,59.492,119876868,93427236,-0.058428358,0.208809838,
77.561999615,Bangladesh,01-01-1997,71.944380426,14.752467542,130170,2666,4.093147273,,,22.4,59.98,82.457094574,18970.9,105881.3293,937.537266651,5.305601057,8.853321042,,,,,,,,,,,,0.000751046,,1.571667926,48244309133.4895,,,,,,,1.952469945,,,,30.203,8.563,61.427,122039226,94656064,,,
77.182000380,Bangladesh,01-01-1998,72.474456480,14.752466006,130170,2666,3.928773810,-0.773010969,0.227055490,26.746192932,60.24,87.623311053,19249.5,105905.4049,955.292855497,8.402237956,7.825648109,,,,,,-0.490328997,0.222487077,,,,,0.003684813,,1.567535198,49984559471.3656,-0.370746762,0.345668405,-0.935864508,0.221403405,-1.049343109,0.332756311,,,,,29.79,7.511,63.917,124350471,95976181,-0.085569881,0.214446098,
76.798000209,Bangladesh,01-01-1999,72.873934086,14.752464470,130170,2666,4.274880185,,,29.540214539,60.54,95.964789474,20105.5,110079.9403,973.763724360,6.106695898,8.978643048,,,,,,,,,,,,0.036170407,,1.584834391,51270569883.5275,,,,,,,2.132819891,,,,29.322,6.662,66.228,126754824,97345170,,,
76.409999876,Bangladesh,01-01-2000,72.213259584,14.752462933,130170,2666,4.615930715,-1.212082624,0.221239895,32,60.2,103.364471758,20686.7,111593.3328,992.496942460,2.208256209,8.998203238,,,,,,-0.607652247,0.216711581,,,,,0.071039423,,1.357119181,53369787318.6245,-0.726261258,0.342506409,-0.991129994,0.169623196,-0.941208124,0.262556583,2.125080109,0.59449899,,33.4,28.956,6.855,65.779,129193327,98716621,-0.227924496,0.202820122,2.587594946
