GDP_per_capita,country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides
4531.032206759,Albania,01-01-2017,42.856970803,28.792062044,27400,1485,40.393784595,-0.480890602,0.126261637,99.89,36.94,,5403.7,9924.274102,104.870693431,1.986661332,4.701068533,5,,75.888727817,18.887486061,23.867587619,0.098735861,0.222182781,0.621,,,67.658333333,62.4,,1.109151006,13019726211.7369,0.373769820,0.213935792,-0.412762374,0.152046159,0.220623150,0.205978915,3.611720085,2.6750803,51.8,33.1,10.87,8.15,79.047,2873457,1167112,0.203807637,0.124306582,2.014340017
5287.660800676,Albania,01-01-2018,42.849671533,28.791970803,27400,1485,39.127605899,-0.545840263,0.135491610,100,37.83,,5316.1,9671.388481,104.612262774,2.028059631,4.394812962,4.6225,,64.570381422,18.545967473,23.266814448,0.080650173,0.224906608,0.628666282,,,77.596666667,65.4,2.66,1.160544785,15156424015.1977,0.366642982,0.212307975,-0.414187849,0.144306988,0.256079823,0.206044436,3.152944803,2.82325125,49,30.1,10.517,8.308,79.184,2866376,1137407,0.188694432,0.127507299,2.294045943
5396.214243284,Albania,01-01-2019,42.846715328,28.791970803,27400,1485,40.263896158,-0.563899636,0.146152630,100,40.11,,4993.3,9196.36286,104.167554745,1.411090790,4.956504018,,,75.698488249,18.144377190,23.150654647,-0.062144101,0.233657479,,82,10.9,75.382916667,68.55039112,,1.280805962,15401826127.2539,0.110049680,0.229520440,-0.425378829,0.146527514,0.272065461,0.203257471,3.916239977,2.86730385,46.2,30.1,10.343,8.48,79.282,2854191,1106598,0.141880304,0.121714629,2.261747910
5343.037703996,Albania,01-01-2020,42.538503650,28.791970803,27400,1485,25.688797447,-0.572924495,0.149973631,100,44.58,,4383.2,8304.29494,103.571131387,1.620886617,5.386769753,5.151666667,,83.887494536,16.983262296,24.732563752,-0.154880330,0.256462783,0.634250939,,,82.984166667,72.23767711,,1.298479116,15162734205.2462,0.088576451,0.232469827,-0.376249194,0.142738119,0.221967235,0.221013695,3.342299938,2.93465567,43.4,29.4,10.285,10.785,76.989,2837849,1075204,0.086402573,0.125125065,2.127772012
3143.029479968,Armenia,01-01-2010,60.941341763,11.610818405,28470,562,24.698451935,-0.695039570,0.138600841,99.8,9.36,1685.847266378,4336.6,7561.591307,103.487636108,8.176361385,10.607635790,8.614601737,0.241390005,,17.070051399,22.997362347,-0.171523154,0.199668333,,,,,25,2.52,4.265646056,9260285755.62424,0.071855329,0.260473907,-0.481358320,0.133656934,0.268946558,0.152373761,3.249000072,1.68628836,41.2,30,13.898,9.384,73.16,2946293,1077165,-0.847521544,0.132860422,1.900693516
3462.681778404,Armenia,01-01-2011,59.645240604,11.603512469,28470,562,26.494308002,-0.664559424,0.139533088,99.494613647,8.01,1774.681663489,4937.1,8203.359102,102.879381805,7.650008079,12.919757893,8.227973785,0.270139992,,17.219419049,22.568016317,-0.115028307,0.200797647,,,,,32,,3.853946441,10142111824.5835,-0.063868985,0.254919261,-0.437706411,0.131471917,0.246940598,0.153348863,3.143850088,1.6728667,33.9,29.4,14.046,9.559,73.305,2928976,1073763,-0.690779805,0.133806169,2.424055370
3643.715401086,Armenia,01-01-2012,59.114857745,11.596206533,28470,562,27.359900338,-0.588001490,0.130966693,99.535865784,6.56,1872.413079648,5716.5,9199.713496,102.368141904,2.558020078,11.281193291,7.434230738,0.238529995,,17.491642077,21.373642156,-0.032386623,0.196348101,,,,,37.5,2.56,3.583766919,10619320682.9474,0.154794976,0.226807356,-0.418281972,0.127552375,0.334273398,0.164164081,2.772480011,1.57816982,31.3,29.6,15.094,9.761,73.454,2914421,1071341,-0.570491433,0.126344398,2.230288623
3833.157073963,Armenia,01-01-2013,59.114857745,11.588900597,28470,562,28.453255587,-0.530450225,0.136648357,99.42,6.77,1928.734035642,5501.5,9141.888191,101.910256410,5.789667785,12.216843044,6.697741535,0.222159997,,21.586213875,22.637181798,0.078659788,0.193549156,,,20,,41.9,,3.997244557,11121464437.0415,0.110385142,0.231508240,-0.340971231,0.131644517,0.235182688,0.167675242,2.650180101,1.37565804,30.5,30.6,15.055,9.813,73.676,2901385,1068754,-0.588030815,0.126018420,2.171377148
4017.229914495,Armenia,01-01-2014,59.034070952,11.581594661,28470,562,28.889231268,-0.565155387,0.142175749,99.71,7.08,1976.864491527,5479,9132.807486,101.507903056,2.981308689,13.781248660,8.607024985,0.241510004,,21.599174553,23.987558053,-0.255827993,0.213936090,,,,,54.62280586,2.672723,3.943378265,11609513246.7958,-0.297135800,0.200113058,-0.417796254,0.146012336,0.158519909,0.197122589,2.247240067,1.50548005,31.9,31.5,15.842,9.704,74.058,2889930,1066037,-0.562072694,0.134004712,2.491410258
3666.141822109,Armenia,01-01-2015,58.893572181,11.574288725,28470,562,29.589642446,-0.609267175,0.141734689,100,10.74,,5343.4,9155.78308,101.109764665,3.731691193,16.180009673,4.694542818,0.250019997,,20.931220827,25.077981349,-0.331129432,0.219435439,,,,,59.10083377,,4.239225786,10553337518.414,-0.256798655,0.204930633,-0.463257581,0.148565963,0.189176843,0.196353152,2.805910110,1.61020839,29.1,32.4,14.641,9.607,74.436,2878595,1062633,-0.536284149,0.133950666,2.605438175
