GDP_current_US,government_expenditure_on_education%,government_health_expenditure%,political_stability_estimate,control_of_corruption_estimate,rule_of_law_estimate,life_expectancy_at_birth,population_density,inflation_annual%,trade_in_services%
10109296957.6569,4.38367223739624,0.62779975,-2.69136095046997,-1.67209553718567,-1.90330755710602,59.852,40.5182205663646,26.4186641547445,20.2117258968465
12416152648.0573,4.81063985824585,0.53190351,-2.71142148971558,-1.55229878425598,-1.87611877918243,60.364,41.9871931680542,-6.81116108898993,20.5621372388698
15856668496.388,3.4794499874115,0.46915731,-2.57915186882019,-1.64539110660553,-1.87005805969238,60.851,43.2204467749107,2.17853752389414,20.2653077815942
17805098367.2952,3.4620099067688,0.47999981,-2.50205969810486,-1.60047078132629,-1.9225001335144,61.419,44.8448507428361,11.8041858089129,23.3342229631936
19907329905.9776,2.60419988632202,0.34288675,-2.41856145858765,-1.43037283420563,-1.6518931388855,61.923,46.7112506324456,6.44121280934117,18.2504470600021
20146416876.3886,3.45445990562439,0.44335932,-2.51934909820557,-1.44590842723846,-1.60911154747009,62.417,48.3590282569032,7.38577178397855,11.9424038939902
20497128600.3363,3.69521999359131,0.47265697,-2.41106843948364,-1.36474287509918,-1.43704450130463,62.545,50.160541526762,4.67399603536305,13.8664162103284
19134221744.5294,3.2558000087738,0.52267277,-2.56262516975403,-1.35423982143402,-1.51520264148712,62.659,51.7509145546816,-0.66170916471352,10.7426792621561
18116572399.1298,4.54397010803223,0.60012972,-2.6621561050415,-1.54035270214081,-1.52071392536163,63.136,53.1042837649295,4.38389195513893,9.0529206533144
18753456506.5708,4.34319019317627,0.64313394,-2.79497361183167,-1.53190970420837,-1.58373689651489,63.016,54.6485411587937,4.97595150553892,8.58068227835621
3480355258.04122,3.4301700592041,2.76583457,-0.539989590644836,-0.855563640594482,-1.02066767215729,75.404,112.738211678832,0.0500181363468309,25.5318763205832
4348068242.19512,3.11779999732971,2.58867884,-0.297719180583954,-0.8453409075737,-0.762321412563324,75.89,111.350729927007,7.77052583431552,26.9593284811972
