country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides
Africa Eastern and Southern,01-01-1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.061266474,18478095142.1781,,,,,,,,,,,47.438553560,20.918107554,44.085551845,130692579,111658758,,,
Africa Eastern and Southern,01-01-1961,42.345489459,,14571611,,,,,,,,,,9.207577460,,,,,,,,,,,,,,,,1.489745750,19366314294.0882,,,,,,,,,,,47.530551804,20.681403708,44.386696929,134169237,114296883,,,
Africa Eastern and Southern,01-01-1962,42.328470064,,14571611,,,,,,,,,,9.459186771,,,,,,,,,,,,,,,,2.113786884,20506467177.8699,,,,,,,,,,,47.597557571,20.393118213,44.752181870,137835590,117064799,,,
Africa Eastern and Southern,01-01-1963,42.363195120,,14571611,,,,,,,,,,9.719621667,,,,,,,,,,,,,,,,1.815289536,22242734491.041,,,,,,,,,,,47.636139883,20.254634023,44.913159302,141630546,119893122,,,
Africa Eastern and Southern,01-01-1964,42.343499288,,14571611,,,,,,,,,,9.992443183,,,,,,,,,,,,,,,,2.399219992,24294329779.9037,,,,,,,,,,,47.645479614,19.808491589,45.479043035,145605995,122832934,,,
Africa Eastern and Southern,01-01-1965,42.324695602,,14571611,,,,,,,,,,10.276307198,,,,,,,,,,,,,,,,2.401661572,26619560806.5041,,,,,,,,,,,47.667660366,19.795558673,45.498337785,149742351,125871499,,,
Africa Eastern and Southern,01-01-1966,42.349263921,,14571611,,,,,,,,,,10.565442352,,,,,,,,,,,,,,,,2.438716116,28732792825.1557,,,,,,,,,,,47.697885035,20.047542065,45.249104629,153955516,128929776,,,
Africa Eastern and Southern,01-01-1967,42.361204948,,14571611,,,,,,,,,,10.864497755,,,,,,,,,,,,,,,,2.536102616,31592963095.0751,,,,,,,,,,,47.691329942,19.464538082,45.924905003,158313235,132073909,,,
Africa Eastern and Southern,01-01-1968,42.392910434,,14571611,,,,,,,,,,11.177567875,,,,,,,,,,,,,,,,2.569586609,34216506003.7724,,,,,,,,,,,47.691021833,19.236919247,46.223096574,162875171,135349905,,,
Africa Eastern and Southern,01-01-1969,42.441978447,,14571611,,,,,,,,,,11.501553260,,,,,,,,,,,,,,,,2.583307217,38498685902.3199,,,,,,,,,,,47.721121590,19.094288244,46.432303092,167596160,138711770,,,
Africa Eastern and Southern,01-01-1970,42.513144223,,14571611,,,,,,,,,,11.836423989,,,,,,,,,,,,,,,,2.385202080,41938907715.5921,,,,,,,,,,,47.673133369,18.876543313,46.718484520,172475766,142202879,,,
Africa Eastern and Southern,01-01-1971,42.621642864,,14571611,,,,,,,481.869488501,,,12.181438689,,,,,,,,,,,,,,,,2.500828519,45920167032.339,,,,,,,,,,,47.649665039,18.474162520,47.192942263,177503186,145773923,,,
Africa Eastern and Southern,01-01-1972,42.653005217,,14571611,,,,,,,515.185446828,,,12.531153350,,,,,,,,,,,,,,,,2.445426319,49440744172.3381,,,,,,,,,,,47.470739947,18.819799549,46.897389248,182599092,149328561,,,
Africa Eastern and Southern,01-01-1973,42.669269719,,14571611,,6.515578084,,,,,538.778544295,,,12.895050314,,,,,,,,,,,,,,,,2.584835713,64933825429.4262,,,,,,,,,,,47.221132652,18.125937085,47.692317433,187901657,153022708,,,
Africa Eastern and Southern,01-01-1974,42.681073493,,14571611,,6.767335198,,,,,564.563027920,,,13.280134640,19.598393574,,,,,,,,,,,,,,,2.913847555,79888146173.0089,,,,,,,,,,,47.075468148,18.237209409,47.598063754,193512956,156979843,,,
Africa Eastern and Southern,01-01-1975,42.712778978,,14571611,,8.703233628,,,,,584.045885814,,,13.676202583,15.224098935,,,,,,,,,,,,,,,3.413928273,84955085378.7871,,,,,,,,,,,46.950203661,18.093005369,47.759886910,199284304,161019315,,,
Africa Eastern and Southern,01-01-1976,42.709622155,,14571611,,8.208622832,,,,,604.214050085,,,14.082359802,11.216471317,,,,,,,,,,,,,,,4.073507204,85050300129.2175,,,,,,,,,,,46.791826965,17.559227838,48.349588052,205202669,165138645,,,
Africa Eastern and Southern,01-01-1977,42.731102278,,14571611,,7.902220440,,,,,608.444225899,,,14.488508580,14.238055494,,,,,,,,,,,,,,,4.532431221,94566922081.6133,,,,,,,,,,,46.632141814,17.356403499,48.635905194,211120911,169191373,,,
Africa Eastern and Southern,01-01-1978,42.810297365,,14571611,,8.693692575,,,,,626.043267037,,,14.925008635,12.526892515,,,,,,,,,,,,,,,4.219476510,105623414443.521,,,,,,,,,,,46.512016629,17.244200572,48.763604600,217481420,173517340,,,
