country,access_to_electricity_percentage,individuals_using_internet_percentage,year
Afghanistan,42.7,4,2010
Afghanistan,43.22,5,2011
Afghanistan,69.1,5.45,2012
Afghanistan,68.04,5.9,2013
Afghanistan,89.5,7,2014
Afghanistan,71.5,8.26,2015
Afghanistan,97.7,11,2016
Afghanistan,97.7,13.5,2017
Afghanistan,93.43,16.8,2018
Afghanistan,97.7,17.6,2019
Afghanistan,97.7,18.4,2020
"Africa Eastern and Southern",31.67,8.53,2012
"Africa Eastern and Southern",31.7,10.13,2013
"Africa Eastern and Southern",31.86,12.24,2014
"Africa Eastern and Southern",33.9,14.49,2015
"Africa Eastern and Southern",38.85,15.75,2016
"Africa Eastern and Southern",40.2,17.31,2017
"Africa Eastern and Southern",43.03,20.06,2018
"Africa Eastern and Southern",44.39,22.59,2019
"Africa Eastern and Southern",46.27,24.99,2020
"Africa Western and Central",41.84,7.24,2010
"Africa Western and Central",45.91,8.66,2011
"Africa Western and Central",44.05,10.29,2012
"Africa Western and Central",47.05,12.58,2013
"Africa Western and Central",47.65,14.92,2014
"Africa Western and Central",46.76,18.11,2015
"Africa Western and Central",50.9,22.87,2016
"Africa Western and Central",48.79,27.08,2017
"Africa Western and Central",51.21,32.09,2018
"Africa Western and Central",51.16,35.28,2019
"Africa Western and Central",51.73,41.75,2020
Albania,99.64,45,2010
Albania,99.72,47,2011
Albania,99.9,49.4,2012
Albania,99.89,51.8,2013
Albania,99.95,54.3,2014
Albania,99.98,56.9,2015
Albania,99.89,59.6,2016
Albania,99.89,62.4,2017
Albania,100,65.4,2018
Albania,100,68.55,2019
Albania,100,72.24,2020
Algeria,98.91,12.5,2010
Algeria,99,14.9,2011
Algeria,98.76,18.2,2012
Algeria,99.19,22.5,2013
Algeria,99.27,29.5,2014
Algeria,99.36,38.2,2015
Algeria,99.43,42.95,2016
Algeria,99.53,47.69,2017
Algeria,99.64,49.04,2018
Algeria,99.5,58.98,2019
Algeria,99.72,63.95,2020
Angola,34.98,2.8,2010
Angola,34.6,4.7,2011
Angola,37.26,7.7,2012
Angola,38.4,13,2013
Angola,32,21.4,2014
Angola,42,22,2015
Angola,41.79,23.2,2016
Angola,42.91,26,2017
Angola,45.29,29,2018
Angola,45.63,32.13,2019
Angola,46.96,32.55,2020
"Antigua and Barbuda",98.69,47,2010
"Antigua and Barbuda",94.55,52,2011
"Antigua and Barbuda",100,58,2012
"Antigua and Barbuda",100,63.4,2013
"Antigua and Barbuda",100,67.78,2014
"Antigua and Barbuda",100,70,2015
"Antigua and Barbuda",100,73,2016
"Antigua and Barbuda",100,95.71,2019
"Antigua and Barbuda",100,95.69,2020
"Arab World",87.48,25.68,2010
"Arab World",87.72,27.55,2011
"Arab World",87.4,30.8,2012
"Arab World",89.34,33.91,2013
"Arab World",88.83,37.66,2014
"Arab World",89.05,41.38,2015
"Arab World",89.54,41.53,2016
"Arab World",90.66,46.66,2017
"Arab World",89.18,53.2,2018
"Arab World",90.35,60.73,2019
"Arab World",90.64,66.44,2020
Argentina,98.82,45,2010
Argentina,99.03,51,2011
Argentina,99.14,55.8,2012
Argentina,99.29,59.9,2013
Argentina,100,64.7,2014
Argentina,99.69,68.04,2015
Argentina,99.9,70.97,2016
Argentina,100,74.29,2017
Argentina,99.99,77.7,2018
Argentina,100,79.95,2019
Argentina,100,85.51,2020
Armenia,99.8,25,2010
Armenia,99.49,32,2011
Armenia,99.54,37.5,2012
Armenia,99.42,41.9,2013
Armenia,99.71,54.62,2014
Armenia,100,59.1,2015
Armenia,99.8,64.35,2016
Armenia,99.7,64.74,2017
Armenia,99.9,68.25,2018
Armenia,100,66.54,2019
Armenia,100,76.51,2020
Aruba,93.36,62,2010
Aruba,100,69,2011
Aruba,100,74,2012
Aruba,100,78.9,2013
Aruba,100,83.78,2014
Aruba,100,88.66,2015
Aruba,100,93.54,2016
Aruba,100,97.17,2017
Australia,100,76,2010
Australia,100,79.49,2011
Australia,100,79,2012
Australia,100,83.45,2013
Australia,100,84,2014
Australia,100,84.56,2015
Australia,100,86.54,2016
Australia,100,86.55,2017
Australia,100,90,2018
Australia,100,93.61,2019
Australia,100,96.39,2020
Austria,100,75.17,2010
Austria,100,78.74,2011
Austria,100,80.03,2012
Austria,100,80.62,2013
Austria,100,81,2014
Austria,100,83.94,2015
Austria,100,84.32,2016
Austria,100,87.94,2017
Austria,100,87.48,2018
Austria,100,87.75,2019
Austria,100,87.53,2020
Azerbaijan,99.95,46,2010
Azerbaijan,99.9,50,2011
Azerbaijan,100,54.2,2012
Azerbaijan,100,73,2013
Azerbaijan,100,75,2014
Azerbaijan,100,77,2015
Azerbaijan,100,78.2,2016
Azerbaijan,100,79,2017
Azerbaijan,100,79.8,2018
Azerbaijan,100,81.1,2019
Azerbaijan,100,84.6,2020
"Bahamas, The",100,43,2010
"Bahamas, The",100,65,2011
"Bahamas, The",100,71.75,2012
"Bahamas, The",100,72,2013
"Bahamas, The",100,76.92,2014
"Bahamas, The",100,78,2015
"Bahamas, The",100,80,2016
"Bahamas, The",100,80.6,2017
"Bahamas, The",100,83,2018
"Bahamas, The",100,90.69,2019
"Bahamas, The",100,92.48,2020
Bahrain,100,55,2010
Bahrain,100,77,2011
Bahrain,100,88,2012
Bahrain,100,90,2013
Bahrain,100,90.5,2014
Bahrain,100,93.48,2015
Bahrain,100,98,2016
Bahrain,100,95.88,2017
Bahrain,100,98.64,2018
