country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides
Albania,01-01-1996,41.277372263,28.361313869,27400,1485,9.957367667,-0.893903494,0.315914035,100,51.6,904.346640329,1968,7120.070576,115.621642336,12.725477809,-10.286974842,6.153333333,,37.481064963,8.861718692,21.078203069,-0.688587904,0.181661412,,,,,0.032196828,,1.379029627,3199640815.4163,-0.336625129,0.421715975,-0.684481800,0.246615291,-0.474401653,0.327361286,3.083509922,,,27,20.987,5.571,74.592,3168033,1917515,-0.648297846,0.225410879,8.314658468
Albania,01-01-2002,41.605839416,28.169854015,27400,1485,26.959328481,-0.845340908,0.217465132,99.404579163,35.82,1578.165918827,3761.9,8759.443411,111.350729927,7.770525834,11.246477787,5.817122167,,,16.484242269,24.831878114,-0.624333382,0.232496977,,,,,0.390081273,,1.320034494,4348068242.19512,-0.297719181,0.392881572,-0.762321413,0.209525004,-0.311400771,0.236241996,3.117799997,2.58867884,,31.7,15.209,5.953,75.89,3051010,1723790,-0.008150210,0.169131875,6.915206443
Albania,01-01-2005,39.306569343,28.309671533,27400,1485,32.905109373,-0.813263893,0.160477266,99.371124268,36.77,1722.072849725,4095.9,9016.941954,109.908284672,2.366581957,9.455505482,7.553257233,,,,,-0.696387231,0.208881721,,,,,6.043890864,,1.350004971,8052077248.14638,-0.505047977,0.300349623,-0.763833165,0.193423539,-0.400731236,0.169427544,3.281549931,2.66531777,,30.6,13.235,6.306,76.621,3011487,1604189,0.003671788,0.171999812,5.078093829
Albania,01-01-2008,43.102189781,28.449489051,27400,1485,39.656173201,-0.605212390,0.144490749,100,35.79,1617.744156205,4209.5,8733.156627,107.566204380,3.320870904,8.550524874,6.777907612,0.154119998,,,,-0.367063493,0.227469414,,,,,23.86,,1.984868857,12881352893.6855,-0.030500913,0.263591170,-0.600079298,0.156924397,0.137666509,0.193489730,3.509226084,2.2712636,,30,11.868,6.57,77.653,2947314,1473922,0.174939081,0.134313121,3.150738442
Albania,01-01-2012,43.843065693,28.646605839,27400,1485,34.926580616,-0.778729439,0.128089383,99.9,39.91,2118.327776056,4541.8,9070.545303,105.854051095,2.031592684,9.736112073,5.728702920,,63.669152641,17.483233557,23.007590724,-0.268925011,0.209506080,,,,,49.4,2.77,1.487082577,12319834195.331,-0.143631592,0.221984327,-0.519839764,0.131550968,0.240491986,0.181479484,3.309061050,2.45518684,,29,12.227,7.573,78.064,2900401,1324613,0.022064038,0.117871650,5.428406749
Albania,01-01-2014,42.857299270,28.750510949,27400,1485,34.480288658,-0.586141348,0.132680908,99.95,38.56,2309.366502556,5188,9738.800297,105.441751825,1.625865044,6.324557533,4.8575,,73.320227477,18.301936136,24.382665439,-0.048918441,0.232782915,,,,,54.3,,1.346515991,13228147516.1168,0.485986233,0.196386188,-0.310979843,0.142986476,0.279037684,0.197846994,3.216967106,2.5936265,,34.6,12.15,7.868,78.407,2889104,1258985,0.143777400,0.124897428,4.646160226
Albania,01-01-2015,42.857664234,28.802463504,27400,1485,34.387330578,-0.544385254,0.133819968,99.98,38.49,,4797,9408.765344,105.135145985,1.896174026,7.272492422,5.1375,,79.864418148,18.515789855,24.446175749,0.028239952,0.232511222,,,,,56.9,,1.162303864,11386853113.0189,0.341639042,0.201144516,-0.318997443,0.144987211,0.174237311,0.193548530,3.437969923,2.731354,,32.8,11.718,7.947,78.644,2880703,1226200,0.157161772,0.127311558,2.220309903
Albania,01-01-2016,43.127737226,28.802189781,27400,1485,37.277356349,-0.471469223,0.138142213,99.89,39.44,,4573.2,9191.743023,104.967189781,1.275431684,7.413723259,5.671666667,,80.735581968,17.590229810,23.956729434,0.029821262,0.219929546,,,,63.905,59.6,2.412498,1.103581009,11861199830.8396,0.337447882,0.206087306,-0.321364850,0.164538860,0.186607629,0.196718767,3.962090015,2.80370712,,33.7,11.289,8.035,78.86,2876101,1195854,0.170948684,0.122665294,2.742043475
Albania,01-01-2017,42.856970803,28.792062044,27400,1485,40.393784595,-0.480890602,0.126261637,99.89,36.94,,5403.7,9924.274102,104.870693431,1.986661332,4.701068533,5,,75.888727817,18.887486061,23.867587619,0.098735861,0.222182781,0.621,,,67.658333333,62.4,,1.109151006,13019726211.7369,0.373769820,0.213935792,-0.412762374,0.152046159,0.220623150,0.205978915,3.611720085,2.6750803,51.8,33.1,10.87,8.15,79.047,2873457,1167112,0.203807637,0.124306582,2.014340017
Albania,01-01-2018,42.849671533,28.791970803,27400,1485,39.127605899,-0.545840263,0.135491610,100,37.83,,5316.1,9671.388481,104.612262774,2.028059631,4.394812962,4.6225,,64.570381422,18.545967473,23.266814448,0.080650173,0.224906608,0.628666282,,,77.596666667,65.4,2.66,1.160544785,15156424015.1977,0.366642982,0.212307975,-0.414187849,0.144306988,0.256079823,0.206044436,3.152944803,2.82325125,49,30.1,10.517,8.308,79.184,2866376,1137407,0.188694432,0.127507299,2.294045943
Albania,01-01-2019,42.846715328,28.791970803,27400,1485,40.263896158,-0.563899636,0.146152630,100,40.11,,4993.3,9196.36286,104.167554745,1.411090790,4.956504018,,,75.698488249,18.144377190,23.150654647,-0.062144101,0.233657479,,82,10.9,75.382916667,68.55039112,,1.280805962,15401826127.2539,0.110049680,0.229520440,-0.425378829,0.146527514,0.272065461,0.203257471,3.916239977,2.86730385,46.2,30.1,10.343,8.48,79.282,2854191,1106598,0.141880304,0.121714629,2.261747910
Albania,01-01-2020,42.538503650,28.791970803,27400,1485,25.688797447,-0.572924495,0.149973631,100,44.58,,4383.2,8304.29494,103.571131387,1.620886617,5.386769753,5.151666667,,83.887494536,16.983262296,24.732563752,-0.154880330,0.256462783,0.634250939,,,82.984166667,72.23767711,,1.298479116,15162734205.2462,0.088576451,0.232469827,-0.376249194,0.142738119,0.221967235,0.221013695,3.342299938,2.93465567,43.4,29.4,10.285,10.785,76.989,2837849,1075204,0.086402573,0.125125065,2.127772012
Algeria,01-01-1988,16.297748705,,2381740,89,3.076394895,,,,,485.871849784,,,10.178700446,5.911544964,,,,,,,,,,,,,,,1.749698749,59089396860.4342,,,,,,,,,,40.2,33.679,5.972,66.971,24243018,11997627,,,
Algeria,01-01-1995,16.647073148,0.681434581,2381740,89,,,,,0.42,565.418483067,76440.2,143656.5723,11.956813926,29.779626486,-7.902165939,,,,,,,,,,,,0.001768954,,2.935027107,41764291671.7711,,,,,,,,,,35.3,24.758,5.69,67.454,28478022,12531184,,,
Algeria,01-01-2011,17.377211618,0.808484553,2381740,89,8.096536373,-0.572699666,0.162848294,99.002655029,0.18,1126.957018205,120784.9,216395.9083,15.343211686,4.524211505,-8.651090430,7.788333333,,,,,-0.520578742,0.219846964,,,,,14.9,,4.325706359,200013098817.25,-1.360560656,0.244249582,-0.845334828,0.146071583,-1.212379932,0.203395844,,3.71975923,,27.6,24.815,4.713,74.123,36543541,11607690,-1.004121184,0.113212377,0.766209263
Angola,01-01-2000,35.712681479,62.331443010,1246700,1010,32.495965702,-1.197514296,0.250185400,24.238864899,73.44,75.271156105,16204.16,57982.70087,13.149965509,324.996871601,-60.781327039,,,,28.703382159,21.830019410,-1.075034142,0.238578707,,,,,0.105045562,,6.392603154,9129594815.57661,-2.038173914,0.342506409,-1.601501703,0.191532835,-1.507048011,0.334468544,2.607530117,1.11098742,,52,47.647,18.287,46.024,16394062,8182768,-1.458064675,0.197282910,
Angola,01-01-2008,35.449586909,58.769649475,1246700,1010,25.377381672,-1.308764577,0.190644801,38.49,54.88,172.417592458,19275.3,73853.17674,17.399151360,12.475829133,-5.723724308,,,,25.650149857,22.385533329,-1.061388373,0.229705632,,,,,1.9,,3.573120381,88538664884.265,-0.361787379,0.271060199,-1.378563881,0.163275957,-1.101495981,0.187898114,,2.1384356,,42.7,45.889,12.478,54.633,21691522,9049269,-1.119346857,0.114808850,
Angola,01-01-2018,36.730568701,54.317405952,1246700,1010,13.493442303,-1.199250937,0.157753244,45.29,55.94,,23637.4,74848.14556,25.085050934,19.630594364,-5.844003353,7.545545694,,,9.644778503,15.607658096,-1.005115032,0.220668674,0.360190958,,,55.232083333,29,2.05,1.955786810,79450688232.0011,-0.347750902,0.213976681,-1.000932217,0.173731342,-0.800683141,0.218948662,2.044701338,1.10391033,,51.3,40.236,7.99,62.144,31273533,10784991,-0.903365195,0.127947271,
