GDP per capita,country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides
526.140801271,Afghanistan,01-01-2017,58.123668031,1.852781994,652230,327,8.580682278,-1.531909704,0.162200153,97.7,19.21,,10022.78,31750.55044,54.648541159,4.975951506,12.141178295,,,,9.898450897,39.220109981,-1.388972163,0.235828951,0.389,,,42.577916667,13.5,,0.945226800,18753456506.5708,-2.794973612,0.225671411,-1.583736897,0.165211976,-1.369762778,0.194596857,4.343190193,0.64313394,,,37.342,7.027,63.016,35643418,26643455,-0.990814269,0.130804926,6.800694686
492.090632280,Afghanistan,01-01-2018,58.276988179,1.852781994,652230,327,11.638304680,-1.502880573,0.154771924,93.430877686,17.96,,10972.38,32580.49106,56.248231452,0.626149149,,,,,,,-1.501345396,0.245708838,0.393489242,,,49.845,16.8,1.95,1.006745856,18053222734.8881,-2.753262043,0.223669991,-1.688586712,0.159508109,-1.138203621,0.197536752,,0.55239552,,,36.927,6.981,63.081,36686784,27333488,-1.007052064,0.134252891,6.743572835
512.055098229,Afghanistan,01-01-2020,58.741548227,1.852781994,652230,327,9.043845496,-1.493699789,0.157480106,97.7,17.58,,8709.47,31119.04539,59.752280637,,,,,,,,-1.609509230,0.278781325,0.400284141,,,54.396666667,18.4,,1.358856927,19955929060.841,-2.702631712,0.241603479,-1.831374288,0.155655146,-1.389163017,0.214174584,,1.18621242,49.4,,36.051,7.113,62.575,38972230,28829317,-1.077688575,0.131611854,6.594439084
4094.349685705,Albania,01-01-2010,43.843065693,28.542700730,27400,1485,38.482200619,-0.531616509,0.145589307,99.644203186,36.99,1943.343353858,4785.4,9243.210309,106.314635036,3.626046956,7.971036596,6.996244738,,,,,-0.279453218,0.223780468,0.543602943,,,,45,2.46,1.558591893,11926926615.8015,-0.191482902,0.260473907,-0.385760486,0.145244271,0.233281955,0.180459470,3.413074970,2.37874556,,,11.92,7.029,77.936,2913021,1393502,0.123838224,0.130565852,4.084575425
4531.032206759,Albania,01-01-2017,42.856970803,28.792062044,27400,1485,40.393784595,-0.480890602,0.126261637,99.89,36.94,,5403.7,9924.274102,104.870693431,1.986661332,4.701068533,5,,75.888727817,18.887486061,23.867587619,0.098735861,0.222182781,0.621,,,67.658333333,62.4,,1.109151006,13019726211.7369,0.373769820,0.213935792,-0.412762374,0.152046159,0.220623150,0.205978915,3.611720085,2.6750803,51.8,33.1,10.87,8.15,79.047,2873457,1167112,0.203807637,0.124306582,2.014340017
5287.660800676,Albania,01-01-2018,42.849671533,28.791970803,27400,1485,39.127605899,-0.545840263,0.135491610,100,37.83,,5316.1,9671.388481,104.612262774,2.028059631,4.394812962,4.6225,,64.570381422,18.545967473,23.266814448,0.080650173,0.224906608,0.628666282,,,77.596666667,65.4,2.66,1.160544785,15156424015.1977,0.366642982,0.212307975,-0.414187849,0.144306988,0.256079823,0.206044436,3.152944803,2.82325125,49,30.1,10.517,8.308,79.184,2866376,1137407,0.188694432,0.127507299,2.294045943
5343.037703996,Albania,01-01-2020,42.538503650,28.791970803,27400,1485,25.688797447,-0.572924495,0.149973631,100,44.58,,4383.2,8304.29494,103.571131387,1.620886617,5.386769753,5.151666667,,83.887494536,16.983262296,24.732563752,-0.154880330,0.256462783,0.634250939,,,82.984166667,72.23767711,,1.298479116,15162734205.2462,0.088576451,0.232469827,-0.376249194,0.142738119,0.221967235,0.221013695,3.342299938,2.93465567,43.4,29.4,10.285,10.785,76.989,2837849,1075204,0.086402573,0.125125065,2.127772012
4495.921475630,Algeria,01-01-2010,17.371333563,0.805293609,2381740,89,9.513805988,-0.552147269,0.173173040,98.910903931,0.26,1020.070534799,114179.4,210955.5444,15.054684390,3.911061955,-6.992750803,7.686666667,,,,,-0.395901710,0.225383639,0.531282902,,,,12.5,2.36,3.518012609,161207307027.185,-1.259367585,0.243547097,-0.816793382,0.155906692,-1.104800701,0.204706118,,3.55552173,,,24.458,4.754,73.808,35856344,11638969,-1.022330761,0.110140830,0.708382326
4134.936086562,Algeria,01-01-2017,17.355010809,0.815789794,2381741,89,8.456318086,-0.598509312,0.143004373,99.530021667,0.14,,157704.4,265628.7808,17.271628611,5.591115910,1.512675423,6.254166667,0.534319997,,,,-0.536838710,0.204921484,0.523,,,45.70125,47.69105515,,5.924383327,170096988531.906,-0.919614136,0.219212145,-0.925527453,0.173866794,-1.279063463,0.223564833,6.401838303,4.14140797,,,24.755,4.542,75.743,41136546,11496842,-0.902944028,0.124953672,1.273806508
4171.790387555,Algeria,01-01-2018,17.356567990,0.810331602,2381741,89,8.614924085,-0.658660114,0.154878870,99.637741089,0.19,,164534.1,274181.7018,17.603512305,4.269990205,1.164122496,5.640833333,,,,,-0.488373935,0.206083715,0.531993926,,,52.745,49.03846808,2.45,5.483588701,174910684781.571,-0.842121780,0.217243075,-0.807303429,0.163261890,-1.346901417,0.223171577,6.324539185,4.05819464,,,24.074,4.482,76.066,41927007,11475841,-0.995128453,0.130993634,1.354735386
3354.153163716,Algeria,01-01-2020,17.347004145,0.818308960,2381741,89,7.154160612,-0.666460216,0.185096666,99.718772888,0.15,,161563,266702.6795,18.243657056,2.415130941,13.715314715,5,,,,,-0.573433459,0.246358693,0.534556448,,,53.40625,63.94999611,,6.692468397,145743542982.628,-0.847814322,0.237614140,-0.800302982,0.165849134,-1.355300307,0.247676745,7.042397499,3.95616674,,,22.431,5.398,74.453,43451666,11413449,-1.087952256,0.126623094,1.505120655
