country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides
Afghanistan,01-01-2020,58.741548227,1.852781994,652230,327,9.043845496,-1.493699789,0.157480106,97.7,17.58,,8709.47,31119.04539,59.752280637,,,,,,,,-1.609509230,0.278781325,0.400284141,,,54.396666667,18.4,,1.358856927,19955929060.841,-2.702631712,0.241603479,-1.831374288,0.155655146,-1.389163017,0.214174584,,1.18621242,49.4,,36.051,7.113,62.575,38972230,28829317,-1.077688575,0.131611854,6.594439084
Albania,01-01-2017,42.856970803,28.792062044,27400,1485,40.393784595,-0.480890602,0.126261637,99.89,36.94,,5403.7,9924.274102,104.870693431,1.986661332,4.701068533,5,,75.888727817,18.887486061,23.867587619,0.098735861,0.222182781,0.621,,,67.658333333,62.4,,1.109151006,13019726211.7369,0.373769820,0.213935792,-0.412762374,0.152046159,0.220623150,0.205978915,3.611720085,2.6750803,51.8,33.1,10.87,8.15,79.047,2873457,1167112,0.203807637,0.124306582,2.014340017
Albania,01-01-2018,42.849671533,28.791970803,27400,1485,39.127605899,-0.545840263,0.135491610,100,37.83,,5316.1,9671.388481,104.612262774,2.028059631,4.394812962,4.6225,,64.570381422,18.545967473,23.266814448,0.080650173,0.224906608,0.628666282,,,77.596666667,65.4,2.66,1.160544785,15156424015.1977,0.366642982,0.212307975,-0.414187849,0.144306988,0.256079823,0.206044436,3.152944803,2.82325125,49,30.1,10.517,8.308,79.184,2866376,1137407,0.188694432,0.127507299,2.294045943
Albania,01-01-2020,42.538503650,28.791970803,27400,1485,25.688797447,-0.572924495,0.149973631,100,44.58,,4383.2,8304.29494,103.571131387,1.620886617,5.386769753,5.151666667,,83.887494536,16.983262296,24.732563752,-0.154880330,0.256462783,0.634250939,,,82.984166667,72.23767711,,1.298479116,15162734205.2462,0.088576451,0.232469827,-0.376249194,0.142738119,0.221967235,0.221013695,3.342299938,2.93465567,43.4,29.4,10.285,10.785,76.989,2837849,1075204,0.086402573,0.125125065,2.127772012
Armenia,01-01-2017,58.872497366,11.559536354,28470,562,33.693060549,-0.636488140,0.133002043,99.7,12.56,,5371.3,9251.278735,100.172918862,0.969553269,11.997339958,7.677893342,0.227880001,,20.780653359,22.629724992,-0.251172304,0.209040567,0.572,,,81.37625,64.74488433,,3.849730577,11527458709.0158,-0.626211226,0.219212145,-0.209941223,0.159550935,0.228407964,0.215175807,2.707590103,1.37250602,25.8,33.6,13.606,9.664,74.906,2851923,1052274,-0.560794771,0.130534723,2.454484220
Armenia,01-01-2018,58.914646997,11.552160169,28470,562,35.270090102,-0.408891350,0.139696091,99.9,11.13,,5712.2,9443.729713,99.633192835,2.520233820,9.733977399,6.574650261,0.188759997,,20.870103903,22.076813756,-0.170385882,0.220806867,0.581725955,,,82.390416667,68.24505226,2.61,4.119886153,12457940694.7395,-0.451120526,0.217243075,-0.197333530,0.152271360,0.350590289,0.214424282,2.255867958,1.23468125,23.6,34.4,13.307,9.75,75.064,2836557,1045300,-0.130894393,0.133988872,1.762700344
Armenia,01-01-2020,58.868984896,11.537407798,28470,562,16.458521269,-0.003438700,0.157668769,100,8.38,,6746.6,10422.04117,98.546118721,1.211435778,9.639110340,5.797729686,0.209199995,63.401214007,21.860419276,26.581287778,-0.304616541,0.249917418,0.578998804,,7.2,82.938333333,76.50770055,,4.982543724,12641698583.2152,-0.771642268,0.237614140,-0.125852257,0.149982378,0.238748029,0.233334079,2.705559969,2.35682821,19.1,25.1,12.455,12.792,72.173,2805608,1029293,0.047159709,0.130757630,1.853430370
Austria,01-01-2010,33.679108095,46.815317499,82520,1110,23.318470365,1.596122026,0.153291345,100,31.15,8382.711154453,69965.1,83550.95772,101.350024237,1.813534390,,,2.726099968,85.786269827,25.281635506,46.426809713,1.812521100,0.218765646,0.737782121,,,,75.17,3.76,0.821232712,392275107258.667,1.152648211,0.239330947,1.801202655,0.154795170,1.450515866,0.235530734,5.700479984,7.39957857,18.9,30.3,9.4,9.2,80.580487805,8363404,3562894,1.430290699,0.146318108,0.729418239
Austria,01-01-2017,32.169413476,47.120455647,82520,1110,29.471540453,1.500462890,0.125844866,100,33.97,,65867.7,78699.13623,106.611318468,2.081269114,,,3.056560040,89.405408847,25.422226176,44.329887110,1.467408299,0.208749488,0.793,,,87.89625,87.93558659,,0.757279034,417261151844.977,1.029623389,0.209813088,1.799017429,0.158714339,1.427534103,0.220789850,5.371590137,7.66504908,18.1,29.7,10,9.5,81.643902439,8797566,3686708,1.385919213,0.121724494,0.795680953
Austria,01-01-2018,32.147721764,47.163960252,82520,1110,30.757587871,1.568366051,0.135948211,100,34.08,,63131.4,75582.15688,107.131858943,1.998379814,,,3.091820002,84.215491885,25.417502122,43.724710374,1.456104994,0.209096208,0.768673122,,,89.505,87.47913723,4.03,0.745028040,454991174096.102,0.884671748,0.208318025,1.853449583,0.152301222,1.524036407,0.222046480,5.226550102,7.705019,17.5,30.8,9.7,9.5,81.692682927,8840521,3686762,1.399156690,0.123570561,0.972794281
Austria,01-01-2020,31.539813379,47.250969462,82520,1110,27.738147236,1.477789164,0.149796650,100,35.77,,59142.4,71017.8287,108.057004363,1.381910634,,,3.201489925,99.909697973,24.415139802,50.574651172,1.606263638,0.231866837,0.746739745,,,89.779166667,87.52942813,,0.884127145,435049316955.737,0.887528837,0.226481333,1.770163417,0.150381744,1.395227313,0.233886927,5.569009781,8.763134,17.5,29.8,9.4,10.3,81.192682927,8916864,3678385,1.394437790,0.111107700,0.729699453
Belgium,01-01-2010,44.772126816,22.783025099,30280,847,38.608439335,1.473829985,0.155030310,100,6.25,8393.949623269,106872.8,124908.4666,359.827807133,2.189299204,,,2.061880112,93.206454396,24.468242422,43.579571631,1.654209852,0.218765646,0.752726853,,,,77.63978551,3.94,1.090488217,481420882905.001,0.810646176,0.239330947,1.417852521,0.154795170,1.282815099,0.235530734,6.442590237,7.77896738,20.8,28.4,11.9,9.7,80.182926829,10895586,255937,1.360686898,0.146318108,
Belgium,01-01-2017,43.824306473,22.764200793,30280,847,46.347110119,1.403884411,0.124809504,100,9.66,,92587.4,108193.7955,375.665719947,2.125970860,,,2.666660070,103.883627921,23.448258971,39.955524108,1.240593195,0.208749488,0.757,,,75.582083333,87.67968082,,0.883563446,502764720556.354,0.417606324,0.209813088,1.319779158,0.158714339,1.233276129,0.220789850,6.425340176,8.30055332,20.6,27.4,10.5,9.6,81.492682927,11375158,231939,1.338489175,0.121724494,
Belgium,01-01-2018,44.715984148,22.764200793,30280,847,45.691900819,1.429420352,0.134504512,100,10.65,,93523.2,108952.4335,377.379590489,2.053164999,,,2.860179901,101.392739456,24.008566011,39.893094415,1.224721551,0.209096208,0.762759745,,,82.1875,88.647343,4.04,0.891358085,543299066998.902,0.393630445,0.208318025,1.338616490,0.152301222,1.259039402,0.222046480,6.381070137,8.33381271,20,27.2,10.4,9.7,81.595121951,11427054,228427,1.330212235,0.123570561,
Belgium,01-01-2020,45.066357332,22.764200793,30280,847,45.184502993,1.445956349,0.154146329,100,12.28,,85364.1,100063.4878,381.063540291,0.740791812,,,3.396970034,119.241639785,22.011938421,44.027240939,1.078783035,0.248788178,0.760419667,,95.5,81.948333333,91.52641629,,1.014513524,526264230147.394,0.521023035,0.226481333,1.328004122,0.154432774,1.343635798,0.238239184,6.812329769,8.75983047,18.9,26,9.9,11,80.695121951,11538604,221657,1.278445244,0.111107700,
Bulgaria,01-01-2010,46.536477524,34.423360354,108560,608,19.646586729,-0.237023547,0.123825110,93.511558533,14.27,4560.414917034,44740.6,57043.54655,68.124530214,2.438990605,10.301519665,8.586016667,0.563069999,20.589136527,17.871431557,31.651484781,-0.065325461,0.208492503,0.636619270,,,,46.23,2.83,1.642679166,50760929302.5147,0.360091060,0.239330947,-0.097061358,0.132557839,0.680432558,0.177897826,3.857969999,3.91961002,49.2,35.7,10.2,14.9,73.512195122,7395599,2048433,0.531482577,0.125552282,1.949350474
Bulgaria,01-01-2017,46.329403095,35.501105380,108560,608,25.753843967,-0.195962429,0.114062227,98.064865112,17.11,,43885.1,56596.72316,65.180057111,2.061596194,0.597671214,,0.739950001,32.235054135,20.523224655,32.053809859,0.098326817,0.200046286,0.676,,,76.75125,63.41010138,,1.221522455,59309748166.1179,0.321378797,0.209813088,-0.124983504,0.143238366,0.657676280,0.197260484,4.075270176,4.11570501,38.9,40.4,9,15.5,74.814634146,7075947,1792408,0.429834396,0.109447315,1.434055348
Bulgaria,01-01-2018,46.333824613,35.620854827,108560,608,25.292235278,-0.188040331,0.123989016,98.699638367,19.59,,40898.2,53370.25718,64.711099853,2.814544738,0.699018813,,0.753790021,28.698653228,19.912689172,33.096461233,0.112081617,0.200347409,0.670277238,,,82.668333333,64.78201069,3.03,1.448650905,66370132238.3914,0.444267064,0.208318025,-0.105625674,0.137300074,0.605752707,0.197632849,4.045289993,4.22399569,32.8,41.3,8.9,15.4,74.963414634,7025037,1755697,0.365130007,0.112149946,1.292601312
Bulgaria,01-01-2020,46.490420044,35.860353721,108560,608,18.702632106,-0.322116584,0.137092009,99.7,21.08,,34138.1,46492.85461,63.872651069,1.672440969,0.073400700,,0.849240005,32.259646198,20.278213340,36.685272954,-0.213883147,0.220126405,0.613898158,,,83.052916667,70.16248359,,1.592655416,70368758395.141,0.401580870,0.226481333,-0.127281368,0.136636123,0.460990727,0.208771586,4.502870083,5.09874439,32.1,40.5,8.5,18,73.658536585,6934015,1685936,0.259695321,0.103270337,0.988655607
Chile,01-01-2017,16.226256570,23.996196532,743532,1522,8.689947636,1.001477480,0.125423431,99.7,24.1,,87136.9,107321.0615,24.704487500,2.182718469,-0.262655301,,0.356790006,,17.505794683,22.347256473,0.809503496,0.211222515,0.674,,,78.921666667,82.32748693,,1.940592530,276154259806.312,0.406280667,0.209813088,0.979842782,0.155745432,1.325200796,0.197260484,5.432789803,4.57049799,20.7,45.3,12.13,6.139,80.35,18368577,2297909,1.000429034,0.126143590,4.240938207
Colombia,01-01-2010,38.308246958,54.806480397,1109500,3240,5.811305627,-0.423333108,0.156813934,96.788995,29.63,1104.491269077,64146.1,162038.7755,40.393067147,2.272002279,5.372224027,,0.193580002,72.452669926,12.142165202,25.404384259,-0.123824142,0.204734981,0.580249488,,25.6,,36.5,2.77,3.636915046,286498534094.963,-1.537184834,0.239330947,-0.271385610,0.144613743,0.157253936,0.186796233,4.833829880,5.10725737,29.7,54.6,16.909,4.924,75.033,44816108,9875678,-0.132357180,0.112328812,34.494293882
Colombia,01-01-2018,39.700766111,53.664245155,1109500,3240,7.667358642,-0.339970648,0.126671717,98.5,30.57,,79355.2,182787.6556,44.413664714,3.240569329,7.153069490,,0.312330008,71.650570248,14.609842448,29.971790722,-0.139319524,0.200503990,0.598653853,,,71.112083333,64.12637682,2.94,3.033232739,334198218100.719,-0.806959629,0.208318025,-0.383665770,0.146176517,0.224889174,0.191480890,4.449100018,5.46089888,19.1,50.4,14.841,5.311,76.748,49276961,9472017,0.172091424,0.127886236,26.231325160
Colombia,01-01-2020,39.704621902,53.305011266,1109500,3240,5.946413741,-0.251915634,0.143402383,99.721755981,31.31,,79057.6,186999.3355,45.904156827,2.526635001,8.248218417,,0.289609998,91.223210502,14.055500706,36.581101945,0.008680122,0.231793165,0.604330301,,,74.068333333,69.79533474,,3.533526447,270150956772.57,-0.701150596,0.226481333,-0.492650598,0.146567494,0.225666419,0.202663422,5.265500069,6.53422785,18.1,53.5,14.435,6.606,74.769,50930662,9460370,0.143143579,0.127261952,24.242763384
Costa Rica,01-01-2010,35.624755190,56.231884058,51060,2926,18.351178267,0.664391637,0.186136976,98.995734,40.39,1869.651416669,7105.5,13252.16003,90.525891108,5.662757084,9.811593129,,0.479900002,,12.952542058,25.613628333,0.298928887,0.221109048,0.597758889,,35.6,,36.5,2.91,,37658614803.848,0.691537201,0.260473907,0.535760880,0.166154817,0.586027026,0.202061042,6.565740108,5.80644417,30.942203288,48,16.04,4.552,78.67,4622252,1306433,1.039889455,0.135107636,11.401370090
Costa Rica,01-01-2017,34.880532707,58.475714845,51060,2926,20.548219162,0.432417333,0.131310165,99.6,33.33,,8173.5,15440.86498,97.803407756,1.625906930,8.269830326,,0.425870001,,13.244102554,25.396728375,0.222507447,0.222123206,0.619,,,77.916666667,71.58166462,,,60516044657.2254,0.597006142,0.213935792,0.428042173,0.163181841,0.433457106,0.205978915,7.069809914,5.1788969,23.076541169,48.3,13.926,5.18,79.377,4993842,1070680,1.121756196,0.126255229,12.074872621
Costa Rica,01-01-2018,34.909909910,58.796122209,51060,2926,22.368960806,0.501532555,0.137193039,99.7,33.13,,8166.6,15749.85459,98.721778300,2.221114615,8.739207219,,0.371439993,,13.182148685,28.919224827,0.352696747,0.216051057,0.603258789,,,76.689166667,73.47972844,2.79,,62420164991.5374,0.453240991,0.212307975,0.467701107,0.151825592,0.476172715,0.206044436,6.769919872,5.27453423,23.621087669,48,13.562,5.276,79.484,5040734,1041416,1.119108796,0.129249141,11.605452698
Croatia,01-01-2010,23.833178472,34.307769280,55964,1113,25.390644285,0.023101466,0.141443595,100,29.75,3922.310866882,19457.3,26151.57551,76.753395040,1.030555053,9.360439302,,0.732339978,65.523899762,19.457877757,41.976905994,0.581434488,0.225089997,0.693299353,,,,56.55,2.77,1.681190044,58819429750.2234,0.608463645,0.255335242,0.080469035,0.143186182,0.489483297,0.185852662,4.227210045,6.69001961,31.1,32.4,9.8,11.8,76.475609756,4295427,1926284,0.476428360,0.133147687,1.419192333
Croatia,01-01-2017,26.749338861,34.515195483,55964,1113,34.697362124,0.059864528,0.114062227,100,29.79,,17407.9,23319.27005,73.699717676,1.129372103,,,0.847270012,86.969821993,21.135630707,39.443521783,0.535450637,0.200046286,0.723,,,61.02,67.09619204,,1.643592808,56061675144.3829,0.681904495,0.209813088,0.308140725,0.143238366,0.299436629,0.197260484,3.889219999,5.52650334,26.4,30.4,8.9,13,77.826829268,4124531,1787283,0.479182929,0.109447315,1.097206143
Croatia,01-01-2018,26.517046673,34.559895647,55964,1113,35.382409132,0.046951234,0.123989016,100,32.83,,16433.4,22213.71599,73.044153384,1.500125010,,,0.951250017,83.828007030,20.906442979,38.817766370,0.514107943,0.200347409,0.729365647,,,66.521666667,75.29462599,3.1,1.552489920,61481309636.1289,0.793498814,0.208318025,0.301379770,0.137300074,0.489818364,0.197632849,3.945780039,5.57184922,24.8,29.7,9,12.9,78.070731707,4087843,1759939,0.446271420,0.112149946,0.576855823
Croatia,01-01-2020,26.894210150,34.651715511,55960,1113,24.941681928,0.177089244,0.137092009,100,32.37,,15626.9,21379.32606,72.331665475,0.154811375,,,1.242609978,98.779120047,20.062515794,45.132705113,0.425023794,0.220126405,0.709693968,,,73.673333333,78.32090004,,1.714581742,57760024673.9359,0.607223809,0.226481333,0.236004218,0.136636123,0.362314552,0.208771586,4.434420109,6.35798836,23.2,29.5,8.9,14.1,77.724390244,4047680,1718119,0.579718292,0.103270337,0.976355239
Cyprus,01-01-2010,12.391774892,18.705627706,9240,498,57.200634359,0.969285846,0.189562485,100,6.5,4516.299219429,7898.4,9208.664533,122.260389610,2.430040841,,,0.442919999,,23.114920195,39.074240903,1.526511192,0.238016546,0.686361969,,,,52.99,3.13,1.852924551,25732125693.847,0.452444822,0.243547097,1.209607244,0.163558453,1.421023250,0.246133357,6.525599957,2.98153758,24.6,31.5,12.045,6.412,79.665,1129686,366572,1.023390651,0.146708935,0.708161696
