country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides
Colombia,01-01-2011,37.603424966,54.685141055,1109500,3240,5.570851925,-0.317527682,0.146023944,96.6936,28.74,1148.560241996,69771.1,166014.9048,40.837223073,3.415033448,4.542964842,,0.198420003,62.860132822,14.575881187,24.224740276,-0.050426964,0.203929737,,,,,40.35091575,,3.077106989,334966134865.3,-1.284655571,0.238522351,-0.217361465,0.134700432,0.279601455,0.177598774,4.466080189,4.98383522,28.8,53.5,16.609,4.945,75.32,45308899,9816173,-0.059714228,0.111646034,35.593448921
El Salvador,01-01-2011,59.169884170,30.134169884,20720,1784,13.916787757,-0.247806415,0.166013867,92.574686,29.52,891.101353369,6778.7,12098.14912,296.204102317,5.128923767,,,0.035500001,54.562570982,15.344033509,24.889872623,-0.109997876,0.220340788,,,,,18.9,,1.088061495,20283780000,0.111001194,0.250866294,-0.751709402,0.152224839,0.403908849,0.194175273,3.898540020,4.79892349,,42.3,19.372,6.892,71.859,6137349,2066752,0.043949775,0.116499327,71.219680616
Guatemala,01-01-2011,40.078387458,34.483389324,107160,1996,11.258454718,-0.537248194,0.156548172,84.026414,67.09,550.286936315,11774.9,24954.82672,135.512458007,6.214123931,6.113829832,,0.048939999,24.563959778,11.017843543,12.745311129,-0.724510610,0.211688206,,,,,12.3,,0.459619448,46876006272.2387,-0.744141400,0.240677565,-1.031414747,0.139997557,-0.211610183,0.184306577,2.968650103,1.99347126,,,27.198,5.233,71.177,14521515,7449392,-0.311964631,0.111843489,38.298566143
Honduras,01-01-2011,29.591563142,58.567718295,111890,1976,20.902231496,-0.833935797,0.158521861,82.195298,50.92,653.058554684,9470.4,20100.2172,77.062329073,6.762279573,9.971806992,,,,14.787978789,22.504152374,-0.520890951,0.198931858,,,,,15.9,,1.131309103,17710275685.4074,-0.390435368,0.244249582,-0.905360878,0.135537878,-0.152864039,0.170353681,,3.89370441,,52.6,24.717,4.271,71.439,8622504,4091982,-0.468656331,0.116675124,82.389055291
Jamaica,01-01-2011,38.827331487,51.916158818,10830,2051,31.612056816,-0.187364370,0.171872705,91.1,9.84,1239.909124311,7529.4,8929.297177,253.570544783,7.555856466,12.961800438,12.919741793,,133.978459775,23.364368298,28.201075907,0.291849315,0.220900148,,,,,37.43861341,,0.925165753,14444661522.1463,-0.062983334,0.250866294,-0.371135145,0.156928420,0.245246693,0.194175273,6.266640186,3.09656906,,,15.264,5.871,73.094,2746169,1265160,0.479151219,0.133569613,41.257467902
South Africa,01-01-2011,79.445053541,14.325144878,1213090,495,8.310968579,-0.004233705,0.142364144,83.6,9.23,4528.050042594,409480.3,512737.4833,43.231190596,4.999266970,3.279301223,3.5125,0.667530000,,22.874670012,31.061973446,0.217559651,0.204081640,,,,,33.97,,1.002653404,458199494830.834,0.024031570,0.238522351,0.129662588,0.135697812,0.446406275,0.177598774,5.288980007,4.12050819,8,,22.282,10.592,60.651,52443325,19537236,0.590838611,0.107566282,29.658683639
St. Kitts and Nevis,01-01-2011,23.076923077,42.307692308,260,1427,34.706830716,1.272298098,0.418170005,100,0.92,,236.4,337.712666,183.003846154,5.835165196,3.582667814,2.695087914,,103.009590467,18.075171713,26.353629095,1.244534731,0.434491038,,,,,63.2,,,836092592.592593,0.957588255,0.306695104,0.979530811,0.369382977,1.121402621,0.462991625,2.751112938,1.90999293,,,14.53,9.362,71.538,47581,32744,1.124403238,0.231996030,71.456343327
Trinidad and Tobago,01-01-2011,10.526315789,45.221442495,5130,2200,14.035350857,-0.135050490,0.206220582,97.5,0.38,6006.253433050,22243,33334.67922,276.807017544,5.107132893,-6.705743095,7.439166667,0.040240001,,25.643742201,27.323723159,0.391060174,0.244166508,,,,,55.2,,0.566437191,25433011405.3017,0.141080409,0.254919261,-0.179331794,0.167039216,0.521160543,0.273470074,,2.35490894,,,14.781,6.618,73.278,1420020,655538,0.520742893,0.150331736,24.788383262
Uganda,01-01-2011,71.638739278,13.510712148,200520,1180,15.220503798,-0.936401606,0.143477738,14.6,92.79,,3744.2,31246.84003,166.046967884,16.564349617,11.373498931,7.224702682,,,,,-0.559457004,0.178079739,,,,,4.6,,2.538786700,27871725241.4723,-0.976101816,0.240677565,-0.359688610,0.126085386,-0.176683009,0.150462195,2.298909903,0.90863341,,,42.434,8.319,57.965,33295738,26670552,-0.525404513,0.107742839,11.271712914
"Venezuela, RB",01-01-2011,24.375035429,53.671107080,882050,2044,5.940934608,-1.155070424,0.146023944,98.84,14.76,3233.313373081,160039.6,406627.4297,32.986972394,26.090212316,-8.583113847,,0.152960002,,,,-1.132086396,0.203929737,,,,,40.22,,1.130405341,316482190800.364,-1.094045997,0.238522351,-1.686401486,0.134700432,-1.402885199,0.177598774,,3.07864499,,,20.466,5.649,72.913,29096159,3460115,-0.934033573,0.111646034,48.453130875
