country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides
Afghanistan,01-01-2020,58.741548227,1.852781994,652230,327,9.043845496,-1.493699789,0.157480106,97.7,17.58,,8709.47,31119.04539,59.752280637,,,,,,,,-1.609509230,0.278781325,0.400284141,,,54.396666667,18.4,,1.358856927,19955929060.841,-2.702631712,0.241603479,-1.831374288,0.155655146,-1.389163017,0.214174584,,1.18621242,49.4,,36.051,7.113,62.575,38972230,28829317,-1.077688575,0.131611854,6.594439084
Africa Eastern and Southern,01-01-2000,44.448963124,34.717473174,14571611,,10.496258443,,,19.957301617,65.449523887,773.979506644,357967.510652,936733.642312,27.560479620,8.601485149,,,,,,,,,,,,,0.774217555,,2.003525735,285403765401.254,,,,,,,3.606129885,2.076843781,,,40.528236620,13.775698093,51.964481325,401600588,286048935,,,
Africa Eastern and Southern,01-01-2020,46.467607649,30.174252710,14845090.094,,8.317964333,,,46.268620569,66.123448696,,544952.503,1389908.120222,46.150813142,7.321106434,,,,,,,,,,,,,24.988400868,,1.102671914,928880235176.594,,,,,,,4.352439880,2.990540781,,,33.916745700,7.620547762,63.313860331,685112979,432797498,,,
Africa Western and Central,01-01-2000,36.921371767,21.595283547,9045780,,11.002909813,,,34.137970750,83.273304806,115.970529637,140653.453,593150.734615,29.805268092,2.530775167,,,,,,,,,,,,,0.139444899,,0.832081537,140132777859.081,,,,,,,2.565020084,0.712628873,,,43.199552915,15.562004323,50.221953875,269611898,174339008,,,
Africa Western and Central,01-01-2020,40.172027974,19.816777405,9045773,,9.221788275,,,51.734387968,76.102818688,,215915.61,868687.389867,51.536679287,2.437608822,,,,,,,,,,,,,41.749819072,,0.949805687,786962436538.391,,,,,,,3.403950334,0.967894024,,,36.615729791,10.601297252,57.226372731,466189102,243081107,,,
Albania,01-01-2000,41.751824818,28.076642336,27400,1485,25.531876321,-0.855563641,0.234359592,99.430854797,41.36,1449.647413247,3186.54,8163.977582,112.738211679,0.050018136,15.575411606,11.2983565,,,,,-0.917780161,0.277303487,,,,,0.114097347,,1.246360242,3480355258.04122,-0.539989591,0.396205485,-1.020667672,0.217719540,-0.415910125,0.306227416,3.430170059,2.76583457,,,17.076,5.798,75.404,3089027,1799636,-0.285138667,0.196420565,4.116881082
Albania,01-01-2020,42.538503650,28.791970803,27400,1485,25.688797447,-0.572924495,0.149973631,100,44.58,,4383.2,8304.29494,103.571131387,1.620886617,5.386769753,5.151666667,,83.887494536,16.983262296,24.732563752,-0.154880330,0.256462783,0.634250939,,,82.984166667,72.23767711,,1.298479116,15162734205.2462,0.088576451,0.232469827,-0.376249194,0.142738119,0.221967235,0.221013695,3.342299938,2.93465567,43.4,29.4,10.285,10.785,76.989,2837849,1075204,0.086402573,0.125125065,2.127772012
Algeria,01-01-2000,16.803261481,0.662960693,2381740,89,,-0.987298191,0.250185400,98.640029907,0.43,689.236757782,80046.8,161798.7973,12.921066531,0.339163189,-10.334377998,0.19875,,,,,-1.010749340,0.238578707,,,,,0.491705679,,3.433385635,54790398570.3282,-1.432577372,0.342506409,-1.245844364,0.183204845,-0.710209370,0.307668597,,2.51082778,,,19.543,5.037,70.478,30774621,12334776,-1.110052228,0.197282910,
Algeria,01-01-2020,17.347004145,0.818308960,2381741,89,7.154160612,-0.666460216,0.185096666,99.718772888,0.15,,161563,266702.6795,18.243657056,2.415130941,13.715314715,5,,,,,-0.573433459,0.246358693,0.534556448,,,53.40625,63.94999611,,6.692468397,145743542982.628,-0.847814322,0.237614140,-0.800302982,0.165849134,-1.355300307,0.247676745,7.042397499,3.95616674,,,22.431,5.398,74.453,43451666,11413449,-1.087952256,0.126623094,1.505120655
Andorra,01-01-2000,48.936170213,34.042553191,470,,,1.313403845,0.461006761,100,14.51,,523.952,588.117968,140.631914894,,,,,,,,1.380486727,0.331546426,,,,,10.53883561,,,1429047881.84275,1.166981459,0.595203698,1.286165476,0.309702605,1.223143578,0.416249961,,3.90049219,,,11.3,,,66097,5027,1.535655499,0.291283160,
