country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides
Africa Eastern and Southern,01-01-2000,44.448963124,34.717473174,14571611,,10.496258443,,,19.957301617,65.449523887,773.979506644,357967.510652,936733.642312,27.56047962,8.601485149,,,,,,,,,,,,,0.774217555,,2.003525735,285403765401.254,,,,,,,3.606129885,2.076843781,,,40.52823662,13.775698093,51.964481325,401600588,286048935,,,
Africa Eastern and Southern,01-01-2001,44.547070739,34.537462508,14571611,,11.2473631,,,19.975364676,65.878698992,737.413462637,395061.523617,975817.760057,28.274285184,5.840353983,,,,,,,,,,,,,0.961552005,,1.96018012,260218617002.669,,,,,,,4.341670036,2.036968849,,,40.341208769,13.592398089,52.189648214,412001885,292226383,,,
Africa Eastern and Southern,01-01-2002,44.636051017,34.357451842,14571611,,11.3476814,,,21.576500005,65.15211532,762.543065971,406488.162257,1022654.885109,29.011282143,8.763753664,,,,,,,,,,,,,1.131629443,,2.02426694,267142068310.105,,,,,,,,1.92114225,,,40.047324566,13.309589048,52.540794004,422741118,298513611,,,
Africa Eastern and Southern,01-01-2003,44.928234634,34.177441177,14571611,,10.63947723,,,22.529264828,64.729597293,768.235039226,428637.779164,1062715.693142,29.770729125,7.44970014,,,0.594730743,,,,,,,,,,1.430398355,,1.77084019,354907412306.554,,,,,,,,2.333631066,,,39.750138316,12.981271466,53.02203459,433807484,304973519,,,
Africa Eastern and Southern,01-01-2004,44.630973028,33.654273577,14720190.922,,10.597921157,,,23.74953137,63.775194754,771.962500592,459742.334363,1105457.222981,30.249713292,5.023420686,,,0.626273325,,,,,,,,,,1.716046675,,1.86414913,441359590323.394,,,,,,,3.74496007,2.345368816,,,39.575893606,12.62844132,53.54545711,445281555,311634089,,,
Africa Eastern and Southern,01-01-2005,44.761451235,33.475977146,14720236.092,,10.833744899,,,23.493012779,63.243909612,775.335359643,460840.910225,1132622.365732,31.05614843,8.558038022,,,0.627676172,,,,,,,,,,1.805523142,,1.676245161,514927086452.789,,,,,,,4.00578022,2.289478472,,,39.407391488,12.233489274,54.219650806,457153837,318408250,,,
Africa Eastern and Southern,01-01-2006,44.927874397,33.297801719,14720228.252,,11.131808728,,,25.191220645,62.904220548,783.748462984,467829.222212,1133480.604883,31.895464388,8.898163802,,,,,,,,,,,,,2.058101768,,1.70430499,578633287253.354,,,,,,,3.871469975,2.487585196,,,39.237105183,11.731215202,55.15054611,469508516,325481776,,,
Africa Eastern and Southern,01-01-2007,45.087406119,33.119504037,14720274.665,,11.88844859,,,26.807937111,61.642909186,790.6646844,488797.648679,1197721.01028,32.771564185,8.450774806,,,0.66179179,,,,,,,,,,2.773273826,2.385238095,1.666514232,664099392606.403,,,,,,,,2.525134397,,,39.000516213,11.288067301,55.933801715,482406426,333175124,,,
Africa Eastern and Southern,01-01-2008,45.190735922,32.941395877,14720236.89,,13.134962872,,,25.943316082,62.029369473,754.211033912,522352.252288,1257408.971715,33.678051767,12.56664466,,,,,,,,,,,,,2.694149781,,1.929370239,711800460143.432,,,,,,,4.28008008,2.454082229,,,38.851691625,10.863129724,56.680418897,495748900,340365126,,,
Africa Eastern and Southern,01-01-2009,45.451456158,32.763130626,14720269.284,,11.849956306,,,26.193895212,61.420420711,717.769965377,504690.371108,1239747.20567,34.606056939,8.954218024,,,,,17.357706341,23.759822889,,,,,,,3.207416172,,1.947712133,723512528253.909,,,,,,,,2.753370001,,,38.364939035,10.36190518,57.620851544,509410477,347634312,,,
Africa Eastern and Southern,01-01-2010,45.629132725,32.583415481,14720957.055,,11.462580063,,,27.400110227,63.099836839,734.305770843,532614.140224,1296316.122926,35.558806064,5.537537916,,,0.586981535,,17.321410843,23.713696974,,,,,,,5.296973614,2.38,1.535153449,867040920627.224,,,,,,,4.496590137,2.800520748,,,37.940260402,9.939449408,58.41114975,523459657,355003581,,,
Africa Eastern and Southern,01-01-2011,45.832552026,32.370993518,14721207.05,,11.889608896,,,28.914348318,63.124652434,734.822807512,525337.889289,1299170.768058,36.53185151,8.97120641,,,,,17.521460979,25.469556653,,,,,,,6.802750221,,1.501087951,971667511047.106,,,,,,,4.639014482,2.778916293,,,37.483986597,9.499323161,59.293271389,537792950,362377299,,,
Africa Eastern and Southern,01-01-2012,45.733224018,31.890654257,14845137.142,,11.856364448,,,31.666927868,61.718396759,697.657989404,546775.865,1308707.977083,37.219639584,9.158707155,,,,,18.01246885,23.423348444,,,,,,,8.534750117,2.464210526,1.533811817,979996860991.406,,,,,,,4.931210041,2.728699921,,,36.921299913,9.101050391,60.050780247,552530654,369971909,,,15.1
