country,date,renewable_energy_consumption_percent,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population
Albania,01/01/2010,36.99,1943.343353858,4785.4,9243.210309,2913021
Algeria,01/01/2010,0.26,1020.070534799,114179.4,210955.5444,35856344
Angola,01/01/2010,52.51,206.384258642,22801.5,78893.67568,23364185
Argentina,01/01/2010,8.79,2877.652653313,167226.3,342496.5143,40788453
Armenia,01/01/2010,9.36,1685.847266378,4336.6,7561.591307,2946293
Australia,01/01/2010,8.16,10726.928183190,395993.2,589473.4613,22031750
Austria,01/01/2010,31.15,8382.711154453,69965.1,83550.95772,8363404
Azerbaijan,01/01/2010,4.45,1603.431374065,24311.9,44320.75057,9054332
Bangladesh,01/01/2010,40.31,245.904170868,50487.6,158531.7681,148391139
Belarus,01/01/2010,7.29,3566.173012692,61443.7,94199.51744,9483836
Belgium,01/01/2010,6.25,8393.949623269,106872.8,124908.4666,10895586
Benin,01/01/2010,47.19,92.952250281,4825.1,10475.73048,9445710
Bolivia,01/01/2010,19.93,586.309468497,14702.2,48348.32776,10223270
Bosnia and Herzegovina,01/01/2010,19.57,3068.152716495,20842.5,26070.97531,3811088
Botswana,01/01/2010,29.41,1483.029779161,3371.7,20889.94268,2091664
Brazil,01/01/2010,46.81,2366.380120197,397931.1,999924.9994,196353492
Bulgaria,01/01/2010,14.27,4560.414917034,44740.6,57043.54655,7395599
Cambodia,01/01/2010,64.82,143.766867369,5140.8,27846.2403,14363532
Cameroon,01/01/2010,78.74,267.581767132,7014.4,84904.12823,19878036
Canada,01/01/2010,21.13,15269.745476893,537091.5,673672.8602,34004889
Caribbean small states,01/01/2010,8.058438548,2817.533823198,38301.47,60386.348187,7004428
Chile,01/01/2010,27.04,3318.305247856,69749.1,91817.82978,17004162
China,01/01/2010,12.26,2943.589954437,8474922.7,10211636.79,1337705000
Colombia,01/01/2010,29.63,1104.491269077,64146.1,162038.7755,44816108
"Congo, Dem. Rep.",01/01/2010,96.81,101.775449138,2653.9,49865.04896,66391257
"Congo, Rep.",01/01/2010,54.8,134.974235469,5423.35,17324.56927,4437884
Costa Rica,01/01/2010,40.39,1869.651416669,7105.5,13252.16003,4622252
Cote d'Ivoire,01/01/2010,75.42,209.043144895,6350.6,19242.19108,21120042
Croatia,01/01/2010,29.75,3922.310866882,19457.3,26151.57551,4295427
Cuba,01/01/2010,15.61,1295.700592812,28110,43297.94278,11290417
Cyprus,01/01/2010,6.5,4516.299219429,7898.4,9208.664533,1129686
Czechia,01/01/2010,10.95,6348.424398128,114167.6,134691.9645,10474410
Denmark,01/01/2010,21.2,6327.506456299,48124.8,63737.42493,5547683
Dominican Republic,01/01/2010,16.91,1383.320265289,20680.8,32784.70389,9775755
Ecuador,01/01/2010,11.79,1139.591256196,37254,71886.09941,14989585
"Egypt, Arab Rep.",01/01/2010,5.37,1494.915676429,200313.3,289376.1877,87252413
El Salvador,01/01/2010,32.62,866.858116916,6539.2,12188.34908,6114034
Eritrea,01/01/2010,80.9,86.411559833,502.95,5413.118314,3147727
Estonia,01/01/2010,25.32,6506.318180965,18500.4,21672.08663,1331475
Ethiopia,01/01/2010,94.11,47.435060332,6473.2,116922.7292,89237791
Finland,01/01/2010,33.43,16484.094275371,62526.4,75320.42652,5363352
France,01/01/2010,11.99,7734.361875164,347940.1,472918.3176,65030575
Gabon,01/01/2010,85.83,908.769479372,5762.09,15516.97679,1711105
Georgia,01/01/2010,39.15,2049.544523655,5322.1,13087.03193,3786695
Germany,01/01/2010,11.61,7264.322590736,773069.1,881692.6436,81776930
Ghana,01/01/2010,51.91,268.859259021,10382.6,23141.62425,25574719
Greece,01/01/2010,11.38,5333.439555536,87578.5,108551.8706,11121341
Guatemala,01/01/2010,67.08,556.043060412,11477.6,24360.44408,14259687
Haiti,01/01/2010,78.99,24.789492506,2458.2,8938.707434,9842880
Honduras,01/01/2010,53.63,608.098537759,7926.8,18084.03064,8450933
Hungary,01/01/2010,13.46,3876.491084071,47880.5,62677.52148,10000023
Iceland,01/01/2010,75.89,51439.908691018,1959.124,3237.18338,318041
India,01/01/2010,36.16,637.125844225,1659983,2569051.744,1240613620
Indonesia,01/01/2010,35.96,630.298386001,415536.6,788131.7963,244016173
