country,date,renewable_energy_consumption_percent,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population
China,01/01/2010,12.26,2943.589954437,8474922.7,10211636.79,1337705000
United States,01/01/2010,7.44,13394.902755107,5392109.4,6454244.95,309327143
India,01/01/2010,36.16,637.125844225,1659983.0,2569051.744,1240613620
Russian Federation,01/01/2010,3.34,6409.894365165,1617827.5,2249521.458,142849468
Japan,01/01/2010,4.66,8594.909034122,1157241.8,1234821.371,128070000
Germany,01/01/2010,11.61,7264.322590736,773069.1,881692.6436,81776930
"Korea, Rep.",01/01/2010,1.32,9716.126080516,575215.7,645046.5305,49554112
"Iran, Islamic Rep.",01/01/2010,0.9,2603.090952426,541171.1,756069.3143,75373855
Canada,01/01/2010,21.13,15269.745476893,537091.5,673672.8602,34004889
United Kingdom,01/01/2010,3.13,5700.855864443,482646.2,594574.7842,62766365
