country,date,renewable_energy_consumption_percent,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population
Iceland,01/01/2010,75.89,51439.908691018,1959.124,3237.18338,318041
Norway,01/01/2010,56.71,24890.924010462,40116.4,50072.21256,4889252
Luxembourg,01/01/2010,3.68,16829.962540906,11029.1,12034.51682,506953
Finland,01/01/2010,33.43,16484.094275371,62526.4,75320.42652,5363352
Qatar,01/01/2010,0.13,15393.602816218,60912.1,86697.95181,1713504
Canada,01/01/2010,21.13,15269.745476893,537091.5,673672.8602,34004889
Sweden,01/01/2010,44.7,14934.326964684,47985.5,61014.40639,9378126
United States,01/01/2010,7.44,13394.902755107,5392109.4,6454244.95,309327143
Australia,01/01/2010,8.16,10726.92818319,395993.2,589473.4613,22031750
United Arab Emirates,01/01/2010,0.11,10695.289934142,162788.9,207638.5913,8481771
